Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01556396,0,0,0,0.3867493
0.03442383,0,0,0,0.3867493
0.04919434,0,0,0,0.3867493
0.06567383,0,0,0,0.3867493
0.0824585,0,0,0,0.3867493
0.09851074,0,0,0,0.3867493
0.1166382,0,0,0,0.3867493
0.1331787,0,-0.1009808,0,0.3867493
0.1487427,0,0,0,0.4877625
0.1653442,0,0,0,0.4877625
0.182251,0,0,0,0.4877625
0.1987305,0,0,0,0.4877625
0.2154541,0,0,0,0.4877625
0.2325439,0,-0.2698416,0,0.4877625
0.2515869,0,0,0,0.7575989
0.2655029,0,0,0,0.7575989
0.2823486,0,0,0,0.7575989
0.2987671,0,0,0,0.7575989
0.3155518,0,0,0,0.7575989
0.3328857,0,-0.2192127,0,0.7575989
0.3487549,0,0,0,0.9768066
0.3655396,0,0,0,0.9768066
0.3830566,0,0,0,0.9768066
0.3986206,0,0,0,0.9768066
0.414978,0,0,0,0.9768066
0.4321289,0,0.02217191,0,0.9768066
0.4490356,0,0,0,0.9546204
0.4674072,0,0,0,0.9546204
0.4827271,0,0,0,0.9546204
0.4988403,0,0,0,0.9546204
0.515625,0,0,0,0.9546204
0.5325317,0,0.3424898,0,0.9546204
0.5493164,0,0,0,0.6121216
0.5654907,0,0,0,0.6121216
0.5823364,0,0,0,0.6121216
0.5985718,0,0,0,0.6121216
0.6155396,0,0,0,0.6121216
0.6324463,0,0.5963539,0,0.6121216
0.6488037,0,0,0,0.01577759
0.6654663,0,0,0,0.01577759
0.684021,0,0,0,0.01577759
0.6992798,0,0,0,0.01577759
0.7157593,0,0,0,0.01577759
0.7321167,0,0.6702636,0,0.01577759
0.7487793,0,0,0,-0.6544788
0.7654419,0,0,0,-0.6544789
0.7824097,0,0,0,-0.654479
0.7990723,0,0,0,-0.654479
0.8162231,0,0,0,-0.6544791
0.8323364,0,0.5331177,0,-0.6544791
0.848877,0,0,0,-1.187597
0.8659668,0,0,0,-1.187597
0.8844604,0,0,0,-1.187597
0.899353,0,0,0,-1.187597
0.9157715,0,0,0,-1.187597
0.9326782,0,0.2479287,0,-1.187597
0.9488525,0,0,0,-1.435526
0.96521,0,0,0,-1.435526
0.9819336,0,0,0,-1.435526
0.9989624,0,0,0,-1.435526
1.015808,0,0,0,-1.435526
1.03241,0,-0.06056297,0,-1.435526
1.049072,0,0,0,-1.374963
1.065918,0,0,0,-1.374963
1.082458,0,0,0,-1.374963
1.101257,0,0,0,-1.374964
1.115479,0,-0.2665517,0,-1.374964
1.132507,0,0,0,-1.108412
1.149048,0,0,0,-1.108412
1.165588,0,0,0,-1.108412
1.182495,0,0,0,-1.108412
1.19873,0,0,0,-1.108412
1.215271,0,0,0,-1.108412
1.232971,0,-0.3028317,0,-1.108412
1.248718,0,0,0,-0.8055804
1.265503,0,0,0,-0.8055804
1.282227,0,0,0,-0.8055805
1.299011,0,0,0,-0.8055806
1.317383,0,0,0,-0.8055806
1.332458,0,-0.1909221,0,-0.8055807
1.349365,0,0,0,-0.6146587
1.365601,0,0,0,-0.6146587
1.382263,0,0,0,-0.6146588
1.399292,0,0,0,-0.6146588
1.41626,0,0,0,-0.6146589
1.432251,0,-0.02762115,0,-0.614659
1.449402,0,0,0,-0.5870378
1.465759,0,0,0,-0.5870378
