Time,CV,FF,Input
0,0.007687585,-0.2840414,0
0.01563263,0.007685182,-0.2840414,0
0.032547,0.007682582,-0.2840414,0
0.04944611,0.007679985,-0.2840414,0
0.06521606,0.007677563,-0.2840414,0
0.08236694,0.00767493,-0.2840414,0
0.09915924,0.007672352,-0.2840414,0
0.1163635,0.007669713,-0.2840414,0
0.132431,0.007667247,0.1988917,0
0.1487427,0.007664747,0.1988917,0
0.1654434,0.007662186,0.1988917,0
0.1824493,0.00765958,0.1988917,0
0.1984787,0.007657126,0.1988917,0
0.2154236,0.00765453,0.1988917,0
0.2321777,0.007651965,0.1988917,0
0.2494583,0.007649321,0.3644139,0
0.2656021,0.007646851,0.3644139,0
0.2825317,0.007644262,0.3644139,0
0.2992249,0.007641709,0.3644139,0
0.3155594,0.007639213,0.3644139,0
0.3322525,0.007636662,0.3644139,0
0.3492889,0.00763406,0.07864618,0
0.3655014,0.007631585,0.07864618,0
0.3820267,0.007629063,0.07864618,0
0.3988342,0.007626498,0.07864618,0
0.4157104,0.007623923,0.07864618,0
0.4323883,0.007621381,0.07864618,0
0.449295,0.007618804,-0.6255609,0
0.4650497,0.007616403,-0.6255609,0
0.4824295,0.007613756,-0.6255609,0
0.4984436,0.007611318,-0.6255609,0
0.5153198,0.007608748,-0.6255609,0
0.5323792,0.007606151,-0.6255609,0
0.5486145,0.007603681,-0.6255609,0
0.5652771,0.007601148,-2.431564,0
0.5823517,0.007598553,-2.431564,0
0.5989685,0.007596027,-2.431564,0
0.6156921,0.007593486,-2.431564,0
0.6321106,0.007590992,-2.431564,0
0.6487885,0.007588461,-2.431564,0
0.6650238,0.007585997,-2.431564,0
0.6822815,0.007583379,-2.431564,0
0.6990356,0.007580838,-2.431564,0
0.7154694,0.007578346,-2.431564,0
0.7320404,0.007575836,-2.431564,0
0.7484894,0.007573341,-2.431564,0
0.7653046,0.007570795,-2.431564,0
0.7830048,0.007568114,-3.009696,0
0.7989197,0.007565705,-3.009696,0
0.8152924,0.007563228,-3.009696,0
0.8324432,0.007560634,-3.009696,0
0.849884,0.007557996,-3.009696,0
0.8650055,0.007555712,-3.009696,0
0.8823242,0.007553093,-3.009696,0
0.8992157,0.007550542,-3.172089,0
0.9154053,0.007548098,-3.172089,0
0.9321136,0.007545575,-3.172089,0
0.9491882,0.01507322,-3.172089,2.412398
0.9655457,0.03186381,-3.172089,5.619102
0.9826202,0.05702128,-3.172089,8.061712
0.9985199,0.08438387,-2.970501,9.421482
1.015427,0.116929,-2.970501,10.54615
1.031738,0.1527274,-2.970501,12.01216
1.048828,0.1957058,-2.970501,13.77433
1.065125,0.2415428,-2.970501,15.40989
1.082214,0.2922913,-2.970501,16.28024
1.09816,0.3404805,-2.970501,16.55603
1.115768,0.3936473,-2.588201,16.55603
1.132294,0.444109,-2.588201,16.74818
1.14827,0.4932073,-2.588201,16.87478
1.165237,0.5467167,-2.588201,17.29978
1.182114,0.6027352,-2.588201,18.21307
1.198837,0.6613249,-2.588201,19.23262
1.215591,0.7227036,-2.246176,20.12444
1.232407,0.7849696,-2.246176,20.33694
1.249359,0.8480617,-2.246176,20.44319
1.265778,0.9091331,-2.246176,20.44319
1.282303,0.970582,-2.246176,20.44319
1.298569,1.031063,-2.246176,20.44319
1.315536,1.094115,-2.246176,20.44319
1.332245,1.156163,-2.098623,20.44319
1.348343,1.215955,-2.098623,20.44319
1.364975,1.277711,-2.098623,20.44319
1.381866,1.340396,-2.098623,20.44319
1.398819,1.402945,-2.098623,20.33694
1.415649,1.46501,-2.098623,20.33694
1.43222,1.526147,-2.167177,20.33694
1.448517,1.586249,-2.167177,20.33694
1.465195,1.647681,-2.167177,20.33694
1.482346,1.710862,-2.167177,20.33694
1.498505,1.770418,-2.167177,20.33694
1.515518,1.83305,-2.167177,20.33694
1.532379,1.895091,-2.167177,20.33694
1.548477,1.954359,-2.34303,20.33694
1.565201,2.015875,-2.34303,20.33694
1.582489,2.079447,-2.34303,20.33694
1.599411,2.141606,-2.34303,20.33694
1.616379,2.202892,-2.34303,19.99671
1.631882,2.257742,-2.34303,19.59319
1.649475,2.318988,-2.34303,19.29592
1.665726,2.375052,-2.45225,19.12637
1.682434,2.431049,-2.45225,18.59512
1.698883,2.484373,-2.45225,18.00057
1.715347,2.535486,-2.45225,17.25683
1.732285,2.584052,-2.45225,15.96149
1.748947,2.627922,-2.45225,14.68762
1.765472,2.667841,-2.45225,13.49853
