Time,CV,FF,Input
0,0,-0.2840414,0
0.01531219,0,-0.2840414,0
0.032341,0,-0.2840414,0
0.04873657,0,-0.2840414,0
0.06504822,0,-0.2840414,0
0.08228302,0,-0.2840414,0
0.09928894,0,-0.2840414,0
0.1155319,0,-0.2840414,0
0.1321869,0,0.1988917,0
0.1484604,0,0.1988917,0
0.1653519,0,0.1988917,0
0.1900558,0,0.1988917,0
0.1990585,0,0.1988917,0
0.2152176,0,0.1988917,0
0.2326508,0,0.1988917,0
0.2493515,0,0.3644139,0
0.2655334,0,0.3644139,0
0.2815781,0,0.3644139,0
0.2988663,0,0.3644139,0
0.3156128,0,0.3644139,0
0.3404541,0,0.3644139,0
0.3483353,0,0.07864618,0
0.3654785,0,0.07864618,0
0.3819733,0,0.07864618,0
0.3983536,0,0.07864618,0
0.4153061,0,0.07864618,0
0.4325714,0,0.07864618,0
0.4493637,0,0.07864618,0
0.4652786,0,-0.6255609,0
0.4821167,0,-0.6255609,0
0.5055542,0,-0.6255609,0
0.5162125,0,-0.6255609,0
0.5321198,0,-0.6255609,0
0.5486298,0,-0.6255609,0
0.5652008,0,-0.6255609,0
0.5821152,0,-2.431564,0
0.5983276,0,-2.431564,0
0.6154099,0,-2.431564,0
0.6326294,0,-2.431564,0
0.655838,0,-2.431564,0
0.665329,0,-2.431564,0
0.682312,0,-2.431564,0
0.6992722,0,-2.431564,0
0.7155151,0,-2.431564,0
0.7324829,0,-2.431564,0
0.7492676,0,-2.431564,0
0.7656555,0,-2.431564,0
0.781929,0,-3.009696,0
0.7994537,0,-3.009696,0
0.8232727,0,-3.009696,0
0.8324509,0,-3.009696,0
0.848793,0,-3.009696,0
0.8648911,0,-3.009696,0
0.8820496,0,-3.009696,0
0.8982849,0,-3.172089,0
0.915451,0,-3.172089,0
0.9323578,0,-3.172089,0
0.9486084,0,-3.172089,0
0.9653702,0,-3.172089,0
0.9889984,0,-3.172089,0
0.9984589,0,-2.970501,0
1.015976,0,-2.970501,0
1.032059,0.001286826,-2.970501,0.4377371
1.048676,0.009259514,-2.970501,2.624897
1.066032,0.0247959,-2.970501,4.897961
1.082474,0.04499258,-2.970501,6.72342
1.099243,0.06988218,-2.970501,8.12501
1.115448,0.1013464,-2.588201,10.63092
1.140305,0.1525899,-2.588201,11.28989
1.156021,0.1861949,-2.588201,11.71489
1.165581,0.2071101,-2.588201,11.99069
1.182381,0.2447717,-2.588201,12.28796
1.198578,0.2815905,-2.588201,12.45751
1.215408,0.3202098,-2.588201,12.58523
1.232635,0.3601288,-2.246176,12.71296
1.250374,0.4015556,-2.246176,12.81921
1.2733,0.4555393,-2.246176,12.92546
1.289795,0.4946891,-2.246176,13.03171
1.298691,0.5159615,-2.246176,13.13683
1.315018,0.5550005,-2.246176,13.13683
1.332245,0.5965776,-2.246176,13.26455
1.349106,0.6372537,-2.098623,13.26455
1.365929,0.6778264,-2.098623,13.26455
1.388954,0.7333452,-2.098623,13.26455
1.398277,0.7558152,-2.098623,13.26455
1.415634,0.7976378,-2.098623,13.26455
1.432594,0.8384873,-2.098623,13.26455
1.4552,0.892913,-2.167177,13.26455
1.465919,0.9187043,-2.167177,13.26455
1.482513,0.9589666,-2.167177,13.3708
1.499245,0.9995255,-2.167177,13.3708
1.515884,1.040389,-2.167177,13.54035
1.531738,1.079597,-2.167177,13.6466
1.549141,1.122968,-2.167177,13.75285
1.565575,1.163915,-2.34303,13.75285
1.581619,1.203872,-2.34303,13.75285
1.599297,1.247889,-2.34303,13.75285
1.622757,1.305187,-2.34303,13.49853
1.632385,1.327905,-2.34303,13.05206
1.648331,1.364409,-2.34303,12.67001
1.665428,1.400751,-2.34303,11.77819
1.682533,1.435302,-2.45225,11.20512
1.698624,1.467116,-2.45225,10.97114
1.715981,1.501407,-2.45225,10.97114
1.739159,1.54719,-2.45225,10.97114
1.74855,1.565555,-2.45225,10.86489
1.765472,1.598638,-2.45225,10.86489
1.790085,1.646718,-2.349182,10.86489
1.799141,1.664404,-2.349182,10.86489
1.815453,1.69626,-2.349182,10.86489
1.832382,1.72931,-2.349182,10.86489
1.855438,1.777525,-2.349182,11.63012
1.865608,1.798786,-2.349182,11.63012
1.882202,1.833979,-1.990665,11.79966
1.899368,1.870377,-1.990665,11.79966
1.915695,1.905411,-1.990665,11.94774
1.939377,1.956234,-1.990665,11.94774
1.955269,1.990313,-1.990665,11.94774
1.965172,2.011541,-1.990665,11.94774
1.981445,2.046438,-1.990665,11.94774
1.998535,2.082601,-1.455367,11.79966
2.015823,2.11862,-1.455367,11.63012
2.032417,2.152612,-1.455367,11.43796
2.048882,2.185757,-1.455367,11.24694
