Time,CV,FF,Input
0,0.1003605,6.355401,0.5225109
0.01586914,0.1018436,6.355401,0.5225109
0.03211975,0.1033629,6.355401,0.5225109
0.04898071,0.1049381,6.355401,0.5225109
0.06516266,0.1064496,6.355401,0.5225109
0.08214569,0.1080355,6.355401,0.5225109
0.09841156,0.1095542,6.355401,0.5225109
0.1158676,0.1111831,6.355401,0.5225109
0.1333847,0.1128174,6.740089,0.5225109
0.1487732,0.1142523,6.740089,0.5225109
0.1646347,0.1157306,6.740089,0.5225109
0.1820068,0.1173495,6.740089,0.5225109
0.199379,0.1189684,6.740089,0.5225109
0.2149658,0.12042,6.740089,0.5225109
0.231987,0.1220046,6.740089,0.5225109
0.2489548,0.1235836,6.169265,0.5225109
0.2648163,0.1250591,6.169265,0.5225109
0.2823257,0.1266879,6.169265,0.5225109
0.298851,0.1282243,6.169265,0.5225109
0.3157959,0.1297992,6.169265,0.5225109
0.3320313,0.138555,6.169265,2.965122
0.3487015,0.1566738,4.667776,5.959327
0.365303,0.1795307,4.667776,7.55194
0.3823853,0.2055113,4.667776,8.33751
0.3992844,0.2328989,4.667776,8.890234
0.4153976,0.2612517,4.667776,9.654326
0.4323502,0.2964141,4.667776,11.37467
0.4487076,0.3403646,2.844127,14.73057
0.4652557,0.3957137,2.844127,18.3408
0.4820709,0.4616812,2.844127,21.50455
0.4988098,0.5343388,2.844127,23.79796
0.5151138,0.6109852,2.844127,25.77375
0.5322571,0.6989948,2.844127,28.15193
0.5482025,0.7862117,2.844127,30
0.5655594,0.8811144,1.39227,30
0.5817337,0.9695136,1.39227,30
0.5984192,1.060691,1.39227,30
0.6158142,1.155424,1.39227,29.9141
0.6322327,1.239149,1.39227,28.02421
0.6485519,1.310049,1.39227,23.90421
0.665535,1.367334,1.39227,18.59512
0.6819992,1.404949,1.39227,12.64853
0.6985321,1.418643,1.39227,4.685462
0.7150497,1.43232,1.39227,4.685462
0.7320938,1.446429,1.39227,4.685462
0.7482986,1.440806,1.39227,-1.73986
0.7650757,1.424096,1.39227,-5.291311
0.7820587,1.391766,2.363384,-10.25905
0.7983551,1.344417,2.363384,-15.74107
0.8152466,1.287179,2.363384,-18.39279
0.8325348,1.227959,2.363384,-18.59851
0.8493118,1.172103,2.363384,-18.08309
0.8658752,1.12163,2.363384,-16.53908
0.8822021,1.07329,3.805281,-16.07565
0.8989487,1.020894,3.805281,-17.0025
0.9159012,0.9621803,3.805281,-18.83023
0.9327545,0.8922695,3.805281,-22.58739
0.9490738,0.8093441,3.805281,-27.70998
0.965416,0.7194555,3.805281,-30
0.9825821,0.6250824,3.805281,-30
0.9985809,0.537136,4.732782,-30
1.015785,0.4426321,4.732782,-30
1.032997,0.3480932,4.732782,-30
1.048958,0.2604457,4.732782,-30
1.06562,0.1689784,4.732782,-30
1.082855,0.07441464,4.732782,-30
1.098869,-0.01339237,4.3541,-30
1.116196,-0.1083999,4.3541,-30
1.132385,-0.1971422,4.3541,-30
1.149216,-0.2894033,4.3541,-30
1.165497,-0.3785673,4.3541,-30
1.182297,-0.4705493,4.3541,-30
1.199097,-0.5625426,4.3541,-30
1.216003,-0.6550352,2.508896,-30
1.233528,-0.7509058,2.508896,-30
1.24913,-0.8362523,2.508896,-30
1.265228,-0.9242456,2.508896,-30
1.282448,-1.018372,2.508896,-30
1.29863,-1.10677,2.508896,-30
1.316139,-1.202381,2.508896,-30
1.333061,-1.294785,-0.2172809,-30
1.348846,-1.38092,-0.2172809,-30
1.365677,-1.472762,-0.2172809,-30
1.382317,-1.563523,-0.2172809,-30
1.399216,-1.655641,-0.2172809,-30
1.416031,-1.747285,-0.2172809,-30
1.433357,-1.841711,-0.2172809,-30
1.449059,-1.927214,-2.774471,-30
1.465378,-2.016104,-2.774471,-30
1.483139,-2.112761,-2.774471,-30
1.499123,-2.19974,-2.774471,-30
1.51564,-2.289584,-2.774471,-30
1.532753,-2.382629,-2.774471,-30
1.548775,-2.469738,-2.774471,-30
1.565628,-2.561309,-4.185816,-30
1.582832,-2.654785,-4.185816,-30
1.599113,-2.743184,-4.185816,-30
1.615646,-2.832953,-4.185816,-30
1.632111,-2.922285,-4.185816,-30
1.649429,-3.016273,-4.185816,-30
1.66568,-3.104388,-4.060011,-30
1.682297,-3.194497,-4.060011,-30
1.700127,-3.291116,-4.060011,-30
1.716209,-3.378253,-4.060011,-30
1.732605,-3.46705,-4.060011,-30
1.749153,-3.55665,-4.060011,-30
1.765938,-3.647468,-4.060011,-30
1.782516,-3.737206,-2.804885,-30
1.799202,-3.827419,-2.804885,-30
1.816063,-3.918605,-2.804885,-30
1.832634,-4.008158,-2.804885,-30
1.849449,-4.099036,-2.804885,-30
1.865463,-4.185552,-2.804885,-30
1.882614,-4.278169,-2.804885,-30
1.899162,-4.367494,-1.422728,-30
1.91552,-4.455758,-1.422728,-30
1.933388,-4.47775,-1.422728,-7.221889
1.949028,-4.496991,-1.422728,-7.221889
1.965302,-4.51701,-1.422728,-7.221889
1.982475,-4.538136,-1.422728,-7.221889
1.998688,-4.558061,-1.422728,-7.221889
2.015656,-4.57891,-0.9888744,-7.221889
2.03318,-4.600441,-0.9888744,-7.221889
2.049438,-4.620409,-0.9888744,-7.221889
2.065346,-4.63994,-0.9888744,-7.221889
2.083031,-4.66164,-0.9888744,-7.221889
2.098885,-4.681095,-0.9888744,-7.221889
2.116119,-4.702228,-2.084838,-7.221889
2.132256,-4.722015,-2.084838,-7.221889
2.148926,-4.74244,-2.084838,-7.221889
2.165596,-4.762867,-2.084838,-7.221889
2.183205,-4.784433,-2.084838,-7.221889
2.19899,-4.803766,-2.084838,-7.221889
2.215424,-4.823881,-4.484628,-7.221889
2.232498,-4.844769,-4.484628,-7.221889
2.249359,-4.865395,-4.484628,-7.221889
2.265831,-4.885532,-4.484628,-7.221889
2.282501,-4.905915,-4.484628,-7.221889
2.299561,-4.926759,-4.484628,-7.221889
2.316139,-4.947004,-7.261717,-7.221889
2.332932,-4.967518,-7.261717,-7.221889
2.349518,-4.987762,-7.261717,-7.221889
2.365784,-5.00761,-7.261717,-7.221889
2.382675,-5.028214,-7.261717,-7.221889
2.399269,-5.04845,-7.261717,-7.221889
2.416206,-5.069101,-7.261717,-7.221889
2.432617,-5.089101,-9.263211,-7.221889
2.449097,-5.10918,-9.263211,-7.221889
2.465454,-5.090394,-9.263211,5.725352
2.483177,-5.045002,-9.263211,13.45558
2.499565,-4.974017,-9.263211,23.14012
2.515999,-4.882292,-9.263211,30
2.532417,-4.790662,-9.263211,30
2.548233,-4.702392,-8.573186,30
2.565208,-4.607703,-8.573186,30
2.582191,-4.513032,-8.573186,30
2.598251,-4.423506,-8.573186,30
2.615318,-4.328412,-8.573186,30
2.631729,-4.236995,-8.573186,30
2.648537,-4.143402,-8.573186,30
2.665062,-4.051429,-6.636159,30
2.682198,-3.956084,-6.636159,30
2.699196,-3.861497,-6.636159,30
2.715355,-3.771641,-6.636159,30
2.732216,-3.67794,-6.636159,30
2.748871,-3.585388,-6.636159,30
2.765442,-3.493321,-5.045576,30
2.781975,-3.401518,-5.045576,30
2.798828,-3.307936,-5.045576,30
2.81546,-3.215627,-5.045576,30
2.831474,-3.126799,-5.045576,30
2.848923,-3.030015,-5.045576,30
2.864754,-2.942239,-4.758826,30
2.881943,-2.846965,-4.758826,30
2.898659,-2.754368,-4.758826,30
2.91584,-2.659206,-4.758826,30
2.932281,-2.568169,-4.758826,30
2.948601,-2.477829,-4.758826,30
2.964096,-2.392096,-4.758826,30
2.982071,-2.292658,-6.074159,30
2.998703,-2.200727,-6.074159,30
3.014503,-2.113372,-6.074159,30
3.031784,-2.017891,-6.074159,30
3.048042,-1.928077,-6.074159,30
3.06443,-1.837552,-6.074159,30
3.081841,-1.741473,-8.520806,30
3.097984,-1.652379,-8.520806,30
3.115204,-1.557395,-8.520806,30
3.13224,-1.463444,-8.520806,30
3.14856,-1.373451,-8.520806,30
3.16497,-1.283032,-8.520806,30
3.181839,-1.190102,-11.14913,30
3.198936,-1.09591,-11.14913,30
3.214973,-1.007634,-11.14913,30
3.232384,-0.9118019,-11.14913,30
3.248512,-0.8230655,-11.14913,30
3.264709,-0.7339755,-11.14913,30
3.281845,-0.6397547,-11.14913,30
3.298988,-0.5455496,-13.05357,30
3.315163,-0.4566929,-13.05357,30
3.332214,-0.363012,-13.05357,30
3.34874,-0.2722667,-13.05357,30
3.36499,-0.1830757,-13.05357,30
3.382294,-0.08812018,-13.05357,30
3.398399,0.000214532,-13.84182,30
3.415398,0.09342314,-13.84182,30
3.431946,0.1841338,-13.84182,30
3.448387,0.2742445,-13.84182,30
3.46479,0.3640863,-13.84182,30
3.482246,0.4596919,-13.84182,30
3.49894,0.5510691,-13.84182,30
3.515114,0.6395947,-13.80013,30
3.532005,0.7320028,-13.80013,30
3.548851,0.8241466,-13.80013,30
3.565384,0.9145077,-13.80013,30
3.582268,1.006806,-13.80013,30
3.598198,1.093813,-13.80013,30
3.615746,1.18968,-13.80013,30
3.632057,1.278711,-13.67562,30
3.648338,1.367583,-13.67562,30
3.664932,1.45812,-13.67562,30
3.682129,1.551931,-13.67562,30
3.699203,1.64505,-13.67562,30
3.715576,1.734264,-13.67562,30
3.73201,1.823827,-13.67562,30
3.748695,1.914702,-14.20693,30
3.764633,2.001502,-14.20693,30
3.782585,2.099198,-14.20693,30
3.799004,2.188577,-14.20693,30
3.815125,2.276253,-14.20693,30
3.832603,2.371319,-14.20693,30
3.848396,2.457155,-15.67017,30
3.865417,2.549656,-15.67017,30
3.882347,2.641623,-15.67017,30
3.898933,2.731703,-15.67017,30
3.915283,2.820476,-15.67017,30
3.931808,2.91017,-15.67017,30
3.948616,3.001329,-15.67017,30
3.965691,3.093933,-17.69551,30
3.982246,3.183709,-17.69551,30
3.998589,3.272301,-17.69551,30
4.014885,3.360564,-17.69551,30
4.032135,3.454021,-17.69551,30
4.048637,3.543355,-17.69551,30
4.064774,3.630698,-19.45758,30
4.081871,3.723241,-19.45758,30
4.098236,3.811732,-19.45758,30
4.115265,3.903836,-19.45758,30
4.132462,3.996801,-19.45758,30
4.149147,4.086964,-19.45758,30
4.165527,4.175442,-20.13551,30
4.181633,4.262402,-20.13551,30
4.199219,4.357318,-20.13551,30
4.21582,4.446918,-20.13551,30
4.231674,4.532452,-20.13551,30
4.24881,4.624855,-20.13551,30
4.264931,4.711761,-20.13551,30
4.282364,4.805716,-19.3884,30
4.299042,4.895598,-19.3884,30
4.315033,4.981709,-19.3884,30
4.332375,5.07506,-19.3884,30
4.348244,5.160469,-19.3884,30
4.364799,5.249541,-19.3884,30
4.382195,5.343119,-19.3884,30
4.398705,5.43187,-17.58164,30
4.415657,5.523011,-17.58164,30
4.43161,5.608734,-17.58164,30
4.448517,5.699548,-17.58164,30
4.465073,5.788425,-17.58164,30
4.482071,5.879693,-17.58164,30
4.498863,5.969792,-17.58164,30
4.514931,6.055962,-15.63373,30
4.531967,6.147326,-15.63373,30
4.548683,6.23693,-15.63373,30
4.564705,6.322795,-15.63373,30
4.581894,6.414881,-15.63373,30
4.599121,6.507132,-15.63373,30
4.615448,6.594546,-14.55857,30
4.632805,6.687446,-14.55857,30
4.648972,6.773921,-14.55857,30
4.664902,6.859128,-14.55857,30
4.681526,6.948008,-14.55857,30
4.698349,7.037915,-14.55857,30
4.715981,7.13211,-14.55857,30
4.731789,7.216539,-14.94377,30
4.748581,7.306199,-14.94377,30
4.764709,7.392282,-14.94377,30
4.781723,7.483078,-14.94377,30
4.798798,7.574138,-14.94377,30
4.815063,7.660867,-14.94377,30
4.832741,7.755095,-14.94377,30
4.848885,7.841146,-16.64123,30
4.865082,7.927424,-16.64123,30
4.88195,8.017223,-16.64123,30
4.898544,8.105576,-16.64123,30
4.915283,8.194651,-16.64123,30
4.932045,8.283824,-16.64123,30
4.948891,8.37338,-16.64123,30
4.965073,8.459406,-18.83416,30
4.981956,8.549133,-18.83416,30
4.998756,8.63842,-18.83416,30
5.015106,8.725237,-18.83416,30
5.032417,8.817125,-18.83416,30
5.048538,8.902687,-18.83416,30
5.06559,8.993175,-18.83416,30
5.081985,9.08011,-20.44527,30
5.098801,9.169291,-20.44527,30
5.1157,9.258859,-20.44527,30
5.132126,9.345859,-20.44527,30
5.148666,9.433472,-20.44527,30
5.164948,9.519687,-20.44527,30
5.182411,9.612117,-20.44527,30
5.198463,9.697088,-20.67221,30
5.21537,9.786482,-20.67221,30
5.232491,9.877039,-20.67221,30
5.248367,9.960973,-20.67221,30
5.265038,10.04904,-20.67221,30
5.281921,10.13826,-20.67221,30
5.298897,10.22788,-20.67221,30
5.315338,10.31466,-19.37295,30
5.33197,10.40245,-19.37295,30
5.348969,10.49212,-19.37295,30
5.364799,10.57563,-19.37295,30
5.382271,10.66771,-19.37295,30
5.398842,10.75505,-19.37295,30
5.415245,10.84149,-19.37295,30
5.432396,10.9318,-17.10751,30
5.44928,11.02069,-17.10751,30
5.464973,11.10329,-17.10751,30
5.481682,11.19121,-17.10751,30
5.498451,11.27944,-17.10751,30
5.515465,11.36886,-17.10751,30
5.532051,11.45605,-14.82692,30
5.548538,11.54267,-14.82692,30
5.56562,11.63242,-14.82692,30
5.581902,11.71792,-14.82692,30
5.598656,11.80586,-14.82692,30
5.615562,11.89457,-14.82692,30
5.632713,11.98455,-13.38351,30
5.649551,12.07282,-13.38351,30
5.665558,12.15675,-13.38351,30
5.68309,12.24862,-13.38351,30
5.698357,12.32862,-13.38351,30
5.715317,12.41742,-13.38351,30
5.731712,12.50327,-13.38351,30
5.74868,12.59205,-13.12352,30
5.765007,12.6775,-13.12352,30
5.781662,12.76458,-13.12352,30
5.798531,12.85276,-13.12352,30
5.815994,12.94405,-13.12352,30
5.831764,13.02646,-13.12352,30
5.848724,13.11504,-13.76795,30
5.865372,13.20194,-13.76795,30
5.882408,13.29085,-13.76795,30
5.899078,13.37784,-13.76795,30
5.915833,13.46526,-13.76795,30
5.932014,13.54964,-13.76795,30
5.948799,13.63713,-14.62634,30
5.964981,13.72143,-14.62634,30
5.981659,13.8083,-14.62634,30
5.99839,13.89544,-14.62634,30
6.015327,13.98362,-14.62634,30
6.032127,14.07104,-14.62634,30
6.052376,14.17636,-15.00924,30
6.072868,14.27666,-15.00924,28.32148
6.082489,14.31598,-15.00924,23.92569
6.099289,14.37511,-15.00924,20.82523
6.115845,14.42381,-15.00924,17.66035
6.132866,14.46387,-15.00924,14.45364
6.14901,14.49031,-14.60609,10.54615
6.166054,14.50261,-14.60609,5.534329
6.182487,14.50044,-14.60609,0.8627358
6.198883,14.49827,-14.60609,0.8627358
6.215927,14.49601,-14.60609,0.8627358
6.232384,14.49384,-14.60609,0.8627358
6.248871,14.49166,-14.60609,0.8627358
6.265938,14.4894,-13.62577,0.8627358
6.283104,14.48714,-13.62577,0.8627358
6.298935,14.48505,-13.62577,0.8627358
6.316086,14.48278,-13.62577,0.8627358
6.332382,14.48063,-13.62577,0.8627358
6.349144,14.47842,-13.62577,0.8627358
6.365555,14.47626,-12.63665,0.8627358
6.382584,14.47401,-12.63665,0.8627358
6.398743,14.47188,-12.63665,0.8627358
6.415611,14.46966,-12.63665,0.8627358
6.432816,14.46739,-12.63665,0.8627358
6.448738,14.4653,-12.63665,0.8627358
6.465515,14.46309,-12.63665,0.8627358
6.482368,14.46087,-12.2107,0.8627358
6.499542,14.45861,-12.2107,0.8627358
6.516083,14.45644,-12.2107,0.8627358
6.532166,14.45433,-12.2107,0.8627358
6.549141,14.4521,-12.2107,0.8627358
6.565155,14.44999,-12.2107,0.8627358
6.582428,14.44772,-12.2107,0.8627358
6.599052,14.44554,-12.58006,0.8627358
6.615601,14.44337,-12.58006,0.8627358
6.633125,14.44107,-12.58006,0.8627358
6.649857,14.43888,-12.58006,0.8627358
6.665932,14.43677,-12.58006,0.8627358
6.682899,14.43455,-12.58006,0.8627358
6.699478,14.43237,-13.49936,0.8627358
6.716049,14.4302,-13.49936,0.8627358
6.733337,14.42794,-13.49936,0.8627358
6.749084,14.42588,-13.49936,0.8627358
6.765541,14.41575,-13.49936,-1.790724
6.782433,14.39819,-13.49936,-4.107871
6.799294,14.3764,-13.49936,-5.497028
6.815842,14.35251,-14.38513,-6.321027
6.832207,14.32483,-14.38513,-7.685318
6.84903,14.29028,-14.38513,-9.66676
6.866272,14.2471,-14.38513,-12.13763
6.883339,14.19409,-14.38513,-15.4325
6.899734,14.12925,-14.38513,-20.09166
6.915688,14.05031,-14.64601,-25.52169
6.932655,13.95249,-14.64601,-30
6.949074,13.85788,-14.64601,-30
6.965477,13.7634,-14.64601,-30
6.982903,13.66301,-14.64601,-30
6.998863,13.57113,-14.64601,-30
7.01622,13.47125,-14.64601,-30
7.032104,13.37985,-14.01226,-30
7.049286,13.28104,-14.01226,-30
7.065735,13.1865,-14.01226,-30
7.083069,13.08687,-14.01226,-30
7.098984,12.99541,-14.01226,-30
7.115929,12.8981,-14.01226,-30
7.132263,12.80431,-14.01226,-30
7.149269,12.70671,-12.67839,-30
7.165901,12.61128,-12.67839,-30
7.183228,12.51191,-12.67839,-30
7.198967,12.42163,-12.67839,-30
7.215637,12.32609,-12.67839,-30
7.233063,12.22624,-12.67839,-30
7.249046,12.13467,-11.18126,-30
7.26577,12.03891,-11.18126,-30
7.282341,11.94405,-11.18126,-30
7.299065,11.84838,-11.18126,-30
7.316269,11.74997,-11.18126,-30
7.332306,11.65825,-11.18126,-30
7.349091,11.56226,-11.18126,-30
7.365662,11.46757,-10.08712,-30
7.382744,11.37,-10.08712,-30
7.399132,11.27642,-10.08712,-30
7.415764,11.18143,-10.08712,-30
7.43261,11.08532,-10.08712,-30
7.449089,10.99127,-10.08712,-30
7.46579,10.89603,-10.08712,-30
7.48275,10.79933,-9.667027,-30
7.499222,10.70547,-9.667027,-30
7.516479,10.60713,-9.667027,-30
7.532143,10.51791,-9.667027,-30
7.548882,10.42258,-9.667027,-30
7.565979,10.32527,-9.667027,-30
7.58223,10.2328,-9.744542,-30
7.599144,10.13661,-9.744542,-30
7.615517,10.04349,-9.744542,-30
7.63295,9.944398,-9.744542,-30
7.649254,9.861018,-9.744542,-26.88598
7.665543,9.790042,-9.744542,-22.76824
7.683525,9.727073,-9.744542,-18.08309
7.698746,9.690199,-9.800352,-12.18962
7.715523,9.664251,-9.800352,-7.401608
7.733582,9.649834,-9.800352,-3.309868
7.74939,9.642946,-9.800352,-1.327296
7.765785,9.638508,-9.800352,-0.4264342
7.783035,9.633838,-9.800352,-0.4264342
7.799095,9.629492,-9.800352,-0.4264342
7.815842,9.624961,-9.273749,-0.4264342
7.832809,9.620373,-9.273749,-0.4264342
7.849052,9.61598,-9.273749,-0.4264342
7.865829,9.611446,-9.273749,-0.4264342
7.882172,9.607032,-9.273749,-0.4264342
7.898872,9.60252,-9.273749,-0.4264342
7.915192,9.598114,-9.273749,-0.4264342
7.932297,9.593498,-7.891335,-0.4264342
7.949135,9.588955,-7.891335,-0.4264342
7.964752,9.584742,-7.891335,-0.4264342
7.98204,9.58008,-7.891335,-0.4264342
7.998291,9.5757,-7.891335,-0.4264342
8.015617,9.571032,-7.891335,-0.4264342
8.032974,9.566358,-5.839846,-0.4264342
8.048935,9.562059,-5.839846,-0.4264342
8.065819,9.557514,-5.839846,-0.4264342
8.082069,9.553143,-5.839846,-0.4264342
8.09922,9.548529,-5.839846,-0.4264342
8.115906,9.544041,-5.839846,-0.4264342
8.132942,9.539462,-3.688115,-0.4264342
8.149551,9.534999,-3.688115,-0.4264342
8.165192,9.530796,-3.688115,-0.4264342
8.182838,9.526056,-3.688115,-0.4264342
8.199173,9.521672,-3.688115,-0.4264342
8.21582,9.517203,-3.688115,-0.4264342
8.23259,9.512705,-3.688115,-0.4264342
8.249207,9.508249,-2.102382,-0.4264342
8.265816,9.503795,-2.102382,-0.4264342
8.2827,9.499269,-2.102382,-0.4264342
8.298943,9.494919,-2.102382,-0.4264342
8.315811,9.490399,-2.102382,-0.4264342
8.332298,9.485985,-2.102382,-0.4264342
8.34919,9.481463,-2.102382,-0.4264342
8.366096,9.476939,-1.511225,-0.4264342
8.382172,9.472639,-1.511225,-0.4264342
8.399734,9.467944,-1.511225,-0.4264342
8.415421,9.463751,-1.511225,-0.4264342
8.432411,9.45921,-1.511225,-0.4264342
8.449165,9.452765,-1.511225,-1.069583
8.466148,9.442076,-1.511225,-2.409007
8.48317,9.42777,-1.900126,-3.566449
8.498886,9.413002,-1.900126,-4.107871
8.515686,9.396043,-1.900126,-4.493308
8.532669,9.377943,-1.900126,-4.801884
8.549149,9.359763,-1.900126,-5.008732
8.565315,9.341179,-1.900126,-5.265313
8.581963,9.320321,-1.900126,-5.831602
8.59848,9.29746,-2.840077,-6.552742
8.615334,9.270574,-2.840077,-7.710185
8.632263,9.237446,-2.840077,-9.692759
8.649269,9.199701,-2.840077,-11.13391
8.665955,9.159837,-2.840077,-12.06077
8.682404,9.116081,-2.840077,-13.55392
8.699112,9.067226,-3.724394,-14.99507
8.715492,9.016137,-3.724394,-16.07565
8.732986,8.952916,-3.724394,-18.77823
8.748672,8.89437,-3.724394,-19.44738
