Time,CV,FF,Input
0,0,6.355401,0
0.004369736,0,6.355401,0
0.006078959,0,6.355401,0
0.008237123,0,6.355401,0
0.01090002,0,6.355401,0
0.01304269,0,6.355401,0
0.01485181,0,6.355401,0
0.01723027,0,6.355401,0
0.01923013,0,6.355401,0
0.02111959,0,6.355401,0
0.02282453,0,6.355401,0
0.0245645,0,6.355401,0
0.0261879,0,6.355401,0
0.02849889,0,6.355401,0
0.03075743,0,6.355401,0
0.03281856,0,6.355401,0
0.03494549,0,6.355401,0
0.03788996,0,6.355401,0
0.04012394,0,6.355401,0
0.04222369,0,6.355401,0
0.04439354,0,6.355401,0
0.04642701,0,6.355401,0
0.04867339,0,6.355401,0
0.05102086,0,6.355401,0
0.05315518,0,6.355401,0
0.05512142,0,6.355401,0
0.05792403,0,6.355401,0
0.0601697,0,6.355401,0
0.06224227,0,6.355401,0
0.06434536,0,6.355401,0
0.06659532,0,6.355401,0
0.06853938,0,6.355401,0
0.07037544,0,6.355401,0
0.07229018,0,6.355401,0
0.07412529,0,6.355401,0
0.0765214,0,6.355401,0
0.07855439,0,6.355401,0
0.08071542,0,6.355401,0
0.08301282,0,6.355401,0
0.08601379,0,6.355401,0
0.08861256,0,6.355401,0
0.09090829,0,6.355401,0
0.09336853,0,6.355401,0
0.09578705,0,6.355401,0
0.09873295,0,6.355401,0
0.1009367,0,6.355401,0
0.1027548,0,6.740089,0
0.1046729,0,6.740089,0
0.1066971,0,6.740089,0
0.1086702,0,6.740089,0
0.1110318,0,6.740089,0
0.1128438,0,6.740089,0
0.1147234,0,6.740089,0
0.1173339,0,6.740089,0
0.1191721,0,6.740089,0
0.1210449,0,6.740089,0
0.1229744,0,6.740089,0
0.1251042,0,6.740089,0
0.1270096,0,6.740089,0
0.1414628,0,6.740089,0
0.1446171,0,6.740089,0
0.1468081,0,6.740089,0
0.1487746,0,6.740089,0
0.1508956,0,6.740089,0
0.1527336,0,6.740089,0
0.1545565,0,6.740089,0
0.1568384,0,6.740089,0
0.1630838,0,6.740089,0
0.1655562,0,6.740089,0
0.167732,0,6.740089,0
0.170481,0,6.740089,0
0.1730974,0,6.740089,0
0.1755948,0,6.740089,0
0.1786313,0,6.740089,0
0.180902,0,6.740089,0
0.1827805,0,6.740089,0
0.1845882,0,6.740089,0
0.1868129,0,6.740089,0
0.1886868,0,6.740089,0
0.1906624,0,6.740089,0
0.1924617,0,6.740089,0
0.1943092,0,6.740089,0
0.1966624,0,6.740089,0
0.1983855,0,6.740089,0
0.2002079,0,6.740089,0
0.2027762,0,6.740089,0
0.2047148,0,6.169265,0
0.2066631,0,6.169265,0
0.2086711,0,6.169265,0
0.2107091,0,6.169265,0
0.2126582,0,6.169265,0
0.214515,0,6.169265,0
0.2169778,0,6.169265,0
0.2188933,0,6.169265,0
0.2209573,0,6.169265,0
0.222717,0,6.169265,0
0.2245333,0,6.169265,0
0.2263012,0,6.169265,0
0.2285767,0,6.169265,0
0.2310483,0,6.169265,0
0.2335334,0,6.169265,0
0.2363791,0,6.169265,0
