,forcing function
0,-0.11361657058502539
1,0.07955669445999175
2,0.14576556459331966
3,0.03145848859825459
4,-0.2502243888880582
5,-0.6218655116818128
6,-0.9726256843387469
7,-1.2038782086706872
8,-1.2688358739918577
9,-1.188200555709895
10,-1.035280310188775
11,-0.8984704758534987
12,-0.8394491190686576
13,-0.8668705815214192
14,-0.9372119125665217
15,-0.9808998947584658
16,-0.9396731637605904
17,-0.7962667526301802
18,-0.582147477640675
19,-0.36059296294146603
20,-0.19490104244834783
21,-0.118613122627092
22,-0.1228788723474552
23,-0.166603904092001
24,-0.2028706450414733
25,-0.20666600634687776
26,-0.18856021809817425
27,-0.18679951259184407
28,-0.24215176261215435
29,-0.3694944843260538
30,-0.5424002709352906
31,-0.7005151269023384
32,-0.7775548127720409
33,-0.7364244430846182
34,-0.5932599498771083
35,-0.41677842639615886
36,-0.30116778512634024
37,-0.3240365244166217
38,-0.5089931916728151
39,-0.8110375403155522
40,-1.1325757336327122
41,-1.363460318282304
42,-1.4270100128922585
43,-1.3110896775516065
44,-1.0704420679520383
45,-0.8000789222744605
46,-0.5930122527227286
47,-0.5024229509367327
48,-0.5253570286884414
49,-0.6139192453205295
50,-0.706369429658014
51,-0.7612698950381431
52,-0.7773321721717372
53,-0.7898301589647216
54,-0.8469614754983987
55,-0.9798532235725702
56,-1.1827856890174848
57,-1.4143224256192313
58,-1.6186029144329301
59,-1.7551307159257443
60,-1.82072575413433
61,-1.8513713355801484
62,-1.9023792192384952
63,-2.017035162635397
64,-2.2004795788751923
65,-2.4134329973287536
66,-2.590401669253663
67,-2.674196200405572
68,-2.649545086789459
69,-2.5580857668111654
70,-2.4855971927852103
71,-2.5259104326616852
72,-2.737785864958199
73,-3.115193641041229
74,-3.585644069246154
75,-4.038166585614419
76,-4.368534365355376
77,-4.521194592459154
78,-4.509046046306683
79,-4.402840482224736
80,-4.296331277150491
81,-4.264352321444652
82,-4.3334979762876475
83,-4.478013437672938
84,-4.640641945196659
85,-4.766040106302664
86,-4.828965652874436
87,-4.843236794143932
88,-4.848226437510026
89,-4.881665704300506
90,-4.95454947032434
91,-5.042406063286544
92,-5.0980397056952445
93,-5.07897099064815
94,-4.974494567248497
95,-4.8169879795173625
96,-4.670104702820746
97,-4.59868653820575
98,-4.63528924088517
99,-4.7607852922396425
100,-4.910027746409201
101,-5.001119351086496
102,-4.974664131941626
103,-4.823721165147236
104,-4.599091379264672
105,-4.386321604061613
106,-4.2646923429851995
107,-4.267588375959225
108,-4.363427657590042
109,-4.466734153107903
110,-4.474608921596138
111,-4.311762836607574
112,-3.963305817513622
113,-3.4805151286594986
114,-2.957788261960753
115,-2.4925103177585184
116,-2.147052880860232
117,-1.9300873482149192
118,-1.8041319152237012
119,-1.713097563347086
120,-1.614196682609662
121,-1.4975119545625808
122,-1.384042690670054
123,-1.3050184254249408
124,-1.2753609097322407
125,-1.2771308633501766
126,-1.2631388257471503
127,-1.1796726715168555
128,-0.9964668479834411
129,-0.7274028666930895
130,-0.42958407715424873
131,-0.17938914704645784
132,-0.03629193036623651
133,-0.012293444598462572
134,-0.06290543446949991
135,-0.1054456543926676
136,-0.05690254318322921
137,0.1264398300427671
138,0.42689273639088654
139,0.7719818854231283
140,1.0672425299581363
141,1.239901859708569
142,1.2727406822573673
143,1.2120373028092628
144,1.1459093581785047
145,1.1635123732174342
146,1.314524337229685
147,1.5878296341908447
148,1.9187042348742873
149,2.2199544279843866
150,2.4212361353769407
151,2.4976134100954197
152,2.4746243133315153
153,2.4093321115241855
154,2.358752173832009
155,2.352668922105388
156,2.384534945106278
157,2.423847971745249
158,2.441655016055853
159,2.4338292145476697
160,2.4281594426123165
161,2.470321292914742
162,2.5956773275550753
163,2.802262179222671
164,3.0406675974982464
165,3.228427658569428
166,3.283920220293951
167,3.1641816073926137
168,2.887962547194145
169,2.531682514327308
170,2.1987600430897447
171,1.9758376443242376
172,1.8961651169124791
173,1.9273725693934325
174,1.9893945057458893
175,1.9939412782898287
176,1.8866691606387072
177,1.672083905108841
178,1.4097398791378428
179,1.184239677225256
180,1.064038509884664
181,1.0690361902205012
182,1.1621033287685374
183,1.2676205017463753
184,1.3069202835957567
185,1.2327537808729985
186,1.0462540836674574
187,0.7893895171524028
188,0.5185521988660402
189,0.2742038050731568
190,0.06275124719441891
191,-0.14039483232853597
192,-0.36938193803972696
193,-0.6409503126780207
194,-0.9378273270828025
195,-1.2127695273171102
196,-1.4122220059865933
197,-1.5074816925258092
198,-1.5163211050491483
199,-1.5020530009012478
200,-1.5481756846301897
201,-1.7194558935873396
202,-2.0280489087028477
203,-2.4218704334064847
204,-2.802314435914941
205,-3.064379352968672
206,-3.141214960551356
207,-3.0325614246887795
208,-2.803899246710076
209,-2.5568678554649553
210,-2.3849777719561995
211,-2.3352990239604297
212,-2.3934798308749845
213,-2.4978760947685963
214,-2.574520341078034
215,-2.5750296710028397
216,-2.498950483126585
217,-2.3905176161901758
218,-2.3129153258451787
219,-2.3142074015175194
220,-2.4026625157647135
221,-2.5436592713428308
222,-2.6787779740201674
223,-2.756151065532555
224,-2.7555991807882667
225,-2.695296675000785
226,-2.6168901629552597
227,-2.5577266745228497
228,-2.525929444286287
229,-2.4927102623269315
230,-2.407148566867035
231,-2.226427638659798
232,-1.9456170446850827
233,-1.6103271756226765
234,-1.3036030761053925
235,-1.111387649014742
236,-1.082247281928774
237,-1.20094424671697
238,-1.3896413111628925
239,-1.5376591800941957
240,-1.5469988659527079
241,-1.3730368021166524
242,-1.041808967364609
243,-0.6362225996099857
244,-0.25808683058481446
245,0.016022647758187125
246,0.164698927468018
247,0.22449487317293831
248,0.2660183445554909
249,0.3564770777715931
250,0.5276280421114735
251,0.7643606141172806
252,1.0180372977374772
253,1.2360214924385866
254,1.3909893767914374
255,1.4944918569082344
256,1.5881263792526803
257,1.7178179803495044
258,1.9057133401041833
259,2.135377445033658
260,2.3587704569617984
261,2.5216824230857915
262,2.5941365880840177
263,2.5891455151425724
264,2.558894987424228
265,2.569127008038135
266,2.6641968164699117
267,2.8408638298345394
268,3.0452498647188233
269,3.1961441922654523
270,3.2244881793416593
271,3.1101644385776184
272,2.8976782264188627
273,2.681957375943687
274,2.569721963219573
275,2.6337454512953373
276,2.8809937536972887
277,3.249241715236721
278,3.633416336431239
279,3.929097804658944
280,4.0730053903312635
281,4.06247525912674
282,3.9466264521613796
283,3.795682609248157
284,3.6649438357605923
285,3.571376952792198
286,3.493285212428165
287,3.3911134850398197
288,3.2365927067247564
289,3.0336356415323302
290,2.8194399553659064
291,2.645321641895216
292,2.5479908008901373
293,2.5273757136711943
294,2.5438335636770395
295,2.5373277223198807
296,2.45925508514124
297,2.300346722572991
298,2.0993836769038534
299,1.9269025197399188
300,-1.9269025197399188
301,-2.0993836769038534
302,-2.300346722572991
303,-2.45925508514124
304,-2.5373277223198807
305,-2.5438335636770395
306,-2.5273757136711943
307,-2.5479908008901373
308,-2.645321641895216
309,-2.8194399553659064
310,-3.0336356415323302
311,-3.2365927067247564
312,-3.3911134850398197
313,-3.493285212428165
314,-3.571376952792198
315,-3.6649438357605923
316,-3.795682609248157
317,-3.9466264521613796
318,-4.06247525912674
319,-4.0730053903312635
320,-3.929097804658944
321,-3.633416336431239
322,-3.249241715236721
323,-2.8809937536972887
324,-2.6337454512953373
325,-2.569721963219573
326,-2.681957375943687
327,-2.8976782264188627
328,-3.1101644385776184
329,-3.2244881793416593
330,-3.1961441922654523
331,-3.0452498647188233
332,-2.8408638298345394
333,-2.6641968164699117
334,-2.569127008038135
335,-2.558894987424228
336,-2.5891455151425724
337,-2.5941365880840177
338,-2.5216824230857915
339,-2.3587704569617984
340,-2.135377445033658
341,-1.9057133401041833
342,-1.7178179803495044
343,-1.5881263792526803
344,-1.4944918569082344
345,-1.3909893767914374
346,-1.2360214924385866
347,-1.0180372977374772
348,-0.7643606141172806
349,-0.5276280421114735
350,-0.3564770777715931
351,-0.2660183445554909
352,-0.22449487317293831
353,-0.164698927468018
354,-0.016022647758187125
355,0.25808683058481446
356,0.6362225996099857
357,1.041808967364609
358,1.3730368021166524
359,1.5469988659527079
360,1.5376591800941957
361,1.3896413111628925
362,1.20094424671697
363,1.082247281928774
364,1.111387649014742
365,1.3036030761053925
366,1.6103271756226765
367,1.9456170446850827
368,2.226427638659798
369,2.407148566867035
370,2.4927102623269315
371,2.525929444286287
372,2.5577266745228497
373,2.6168901629552597
374,2.695296675000785
375,2.7555991807882667
376,2.756151065532555
377,2.6787779740201674
378,2.5436592713428308
379,2.4026625157647135
380,2.3142074015175194
381,2.3129153258451787
382,2.3905176161901758
383,2.498950483126585
384,2.5750296710028397
385,2.574520341078034
386,2.4978760947685963
387,2.3934798308749845
388,2.3352990239604297
389,2.3849777719561995
390,2.5568678554649553
391,2.803899246710076
392,3.0325614246887795
393,3.141214960551356
394,3.064379352968672
395,2.802314435914941
396,2.4218704334064847
397,2.0280489087028477
398,1.7194558935873396
399,1.5481756846301897
400,1.5020530009012478
401,1.5163211050491483
402,1.5074816925258092
403,1.4122220059865933
404,1.2127695273171102
405,0.9378273270828025
406,0.6409503126780207
407,0.36938193803972696
408,0.14039483232853597
409,-0.06275124719441891
410,-0.2742038050731568
411,-0.5185521988660402
412,-0.7893895171524028
413,-1.0462540836674574
414,-1.2327537808729985
415,-1.3069202835957567
416,-1.2676205017463753
417,-1.1621033287685374
418,-1.0690361902205012
419,-1.064038509884664
420,-1.184239677225256
421,-1.4097398791378428
422,-1.672083905108841
423,-1.8866691606387072
424,-1.9939412782898287
425,-1.9893945057458893
426,-1.9273725693934325
427,-1.8961651169124791
428,-1.9758376443242376
429,-2.1987600430897447
430,-2.531682514327308
431,-2.887962547194145
432,-3.1641816073926137
433,-3.283920220293951
434,-3.228427658569428
435,-3.0406675974982464
436,-2.802262179222671
437,-2.5956773275550753
438,-2.470321292914742
439,-2.4281594426123165
440,-2.4338292145476697
441,-2.441655016055853
442,-2.423847971745249
443,-2.384534945106278
444,-2.352668922105388
445,-2.358752173832009
446,-2.4093321115241855
447,-2.4746243133315153
448,-2.4976134100954197
449,-2.4212361353769407
450,-2.2199544279843866
451,-1.9187042348742873
452,-1.5878296341908447
453,-1.314524337229685
454,-1.1635123732174342
455,-1.1459093581785047
456,-1.2120373028092628
457,-1.2727406822573673
458,-1.239901859708569
459,-1.0672425299581363
460,-0.7719818854231283
461,-0.42689273639088654
462,-0.1264398300427671
463,0.05690254318322921
464,0.1054456543926676
465,0.06290543446949991
466,0.012293444598462572
467,0.03629193036623651
468,0.17938914704645784
469,0.42958407715424873
470,0.7274028666930895
471,0.9964668479834411
472,1.1796726715168555
473,1.2631388257471503
474,1.2771308633501766
475,1.2753609097322407
476,1.3050184254249408
477,1.384042690670054
478,1.4975119545625808
479,1.614196682609662
480,1.713097563347086
481,1.8041319152237012
482,1.9300873482149192
483,2.147052880860232
484,2.4925103177585184
485,2.957788261960753
486,3.4805151286594986
487,3.963305817513622
488,4.311762836607574
489,4.474608921596138
490,4.466734153107903
491,4.363427657590042
492,4.267588375959225
493,4.2646923429851995
494,4.386321604061613
495,4.599091379264672
496,4.823721165147236
497,4.974664131941626
498,5.001119351086496
499,4.910027746409201
500,4.7607852922396425
501,4.63528924088517
502,4.59868653820575
503,4.670104702820746
504,4.8169879795173625
505,4.974494567248497
506,5.07897099064815
507,5.0980397056952445
508,5.042406063286544
509,4.95454947032434
510,4.881665704300506
511,4.848226437510026
512,4.843236794143932
513,4.828965652874436
514,4.766040106302664
515,4.640641945196659
516,4.478013437672938
517,4.3334979762876475
518,4.264352321444652
519,4.296331277150491
520,4.402840482224736
521,4.509046046306683
522,4.521194592459154
523,4.368534365355376
524,4.038166585614419
525,3.585644069246154
526,3.115193641041229
527,2.737785864958199
528,2.5259104326616852
529,2.4855971927852103
530,2.5580857668111654
531,2.649545086789459
532,2.674196200405572
533,2.590401669253663
534,2.4134329973287536
535,2.2004795788751923
536,2.017035162635397
537,1.9023792192384952
538,1.8513713355801484
539,1.82072575413433
540,1.7551307159257443
541,1.6186029144329301
542,1.4143224256192313
543,1.1827856890174848
544,0.9798532235725702
545,0.8469614754983987
546,0.7898301589647216
547,0.7773321721717372
548,0.7612698950381431
549,0.706369429658014
550,0.6139192453205295
551,0.5253570286884414
552,0.5024229509367327
553,0.5930122527227286
554,0.8000789222744605
555,1.0704420679520383
556,1.3110896775516065
557,1.4270100128922585
558,1.363460318282304
559,1.1325757336327122
560,0.8110375403155522
561,0.5089931916728151
562,0.3240365244166217
563,0.30116778512634024
564,0.41677842639615886
565,0.5932599498771083
566,0.7364244430846182
567,0.7775548127720409
568,0.7005151269023384
569,0.5424002709352906
570,0.3694944843260538
571,0.24215176261215435
572,0.18679951259184407
573,0.18856021809817425
574,0.20666600634687776
575,0.2028706450414733
576,0.166603904092001
577,0.1228788723474552
578,0.118613122627092
579,0.19490104244834783
580,0.36059296294146603
581,0.582147477640675
582,0.7962667526301802
583,0.9396731637605904
584,0.9808998947584658
585,0.9372119125665217
586,0.8668705815214192
587,0.8394491190686576
588,0.8984704758534987
589,1.035280310188775
590,1.188200555709895
591,1.2688358739918577
592,1.2038782086706872
593,0.9726256843387469
594,0.6218655116818128
595,0.2502243888880582
596,-0.03145848859825459
597,-0.14576556459331966
598,-0.07955669445999175
599,0.11361657058502539
600,0.3396785491049084
601,0.5056320589110839
602,0.5568264801982026
603,0.493208630341106
604,0.35887412896068593
605,0.2124856542147091
606,0.09498388955282755
607,0.011219326078258929
608,-0.06611710103706177
609,-0.17409968448980495
610,-0.33230469012022923
611,-0.5265473767981953
612,-0.7132010876012542
613,-0.842230623919801
614,-0.8865517184834717
615,-0.8613518348521985
616,-0.8217889623301743
617,-0.8386630253159622
618,-0.9634748983807938
619,-1.2005495506076493
620,-1.5011601686607432
621,-1.7839892846825482
622,-1.9730175296484997
623,-2.0347341680034523
624,-1.9961981975395533
625,-1.934354444951746
626,-1.9408881745444102
627,-2.0789687147964973
628,-2.3524823330730977
629,-2.702601524321185
630,-3.0335314087116285
631,-3.2553525000717958
632,-3.323831749611654
633,-3.2587782919313932
634,-3.1330389400009326
635,-3.038308147366948
636,-3.0446432994191595
637,-3.1727847649315932
638,-3.391244467034756
639,-3.6374611430332835
640,-3.850599332271177
641,-3.9986269883978283
642,-4.086407284956846
643,-4.142293431582613
644,-4.192372456770912
645,-4.237952544286321
646,-4.249806157338541
647,-4.183234118725589
648,-4.006237979511447
649,-3.725263124476279
650,-3.393367105623826
651,-3.094280169843445
652,-2.908346458424172
653,-2.876312355831374
654,-2.9790722303870147
655,-3.144411118165123
656,-3.278811198354478
657,-3.309915218400592
658,-3.2195566520569447
659,-3.051370702267545
660,-2.889038765222382
661,-2.8153578474785013
662,-2.8716287687769158
663,-3.0367314109781343
664,-3.2357476174427546
665,-3.37376901423505
666,-3.378556366392559
667,-3.231810171331067
668,-2.974754908126089
669,-2.6864466300995917
670,-2.4463169357326238
671,-2.2995229840929254
672,-2.2413753281898883
673,-2.2268891025510538
674,-2.1987102164545465
675,-2.1178312509358714
676,-1.9809982827552737
677,-1.816543548856401
678,-1.6622925949051262
679,-1.5388752155603498
680,-1.4341349581165623
681,-1.3081575611069949
682,-1.116987660048675
683,-0.8424382484397331
684,-0.511239027060505
685,-0.19151110506638638
686,0.03402816896193178
687,0.10639904155916752
688,0.02165003626066217
689,-0.16111400742961987
690,-0.3404921420017907
691,-0.41397410827017905
692,-0.3209781789614588
693,-0.067783920641607
694,0.27730418986738525
695,0.6162101622743523
696,0.8654726920134383
697,0.9919326141587173
698,1.0233969052540213
699,1.0302375170090263
700,1.0878651601674487
701,1.2388554576237079
702,1.47298323211487
703,1.7340123374135017
704,1.9486525407676525
705,2.0623896080117956
706,2.064168755654467
707,1.9882982713727426
708,1.893957679306078
709,1.8340854451523514
710,1.8303740782465656
711,1.8672109729807376
712,1.9068637907374335
713,1.9166356030312104
714,1.8922217847836489
715,1.863528461484826
716,1.8787379697114015
717,1.9744558222906152
718,2.1479783914401893
719,2.347617267466421
720,2.488391507052143
721,2.487472015610682
722,2.3030906911503224
723,1.9577838895323068
724,1.5335464198066386
725,1.1396501420901546
726,0.8671255297925725
727,0.7506559569412249
728,0.7554624625730421
729,0.7951018664523867
730,0.7715920303289819
731,0.6189562388348318
732,0.33011544474446697
733,-0.044495654696914716
734,-0.424416514685547
735,-0.738259416391791
736,-0.9550587826731057
737,-1.0932781843441661
738,-1.2046408311030035
739,-1.342636083844114
740,-1.5327840314153398
741,-1.7600249640565653
742,-1.9790642139694343
743,-2.1412348405122237
744,-2.2228419407341344
745,-2.2394382802981667
746,-2.2382277499369176
747,-2.2726746921722065
748,-2.373135894738466
749,-2.529757184177265
750,-2.6976155291150183
751,-2.8223064513427483
752,-2.8729806585262727
753,-2.865137190235484
754,-2.859940595944227
755,-2.9384206402877706
756,-3.1618819673283713
757,-3.537595078749018
758,-4.007255692328622
759,-4.4653090310731836
760,-4.799997399886222
761,-4.938870574045766
762,-4.878013753564862
763,-4.681699974703991
764,-4.452983954537106
765,-4.289223117482454
766,-4.2431340446572845
767,-4.306668295430668
768,-4.423527302051529
769,-4.522298794472709
770,-4.552805355542386
771,-4.507778682349324
772,-4.420347022783553
773,-4.340566680537146
774,-4.304776835597324
775,-4.314614795897205
776,-4.336735023735568
777,-4.322836021688464
778,-4.238584657706831
779,-4.08521820323087
780,-3.901506638633464
781,-3.7443169641454017
782,-3.6576883769320014
783,-3.6469311754930755
784,-3.672214396985281
785,-3.666291431802306
786,-3.5683833810795225
787,-3.357316659525151
788,-3.066540805593254
789,-2.7721361474814388
790,-2.5582830538481267
791,-2.4762498532507573
792,-2.5168664014794153
793,-2.6105363631395777
794,-2.6558398445062306
795,-2.5639970806255734
796,-2.298667530281401
797,-1.8926044371423667
798,-1.4335989469754324
799,-1.026605001474107
800,-0.7499039083208394
801,-0.625389432404407
802,-0.6156304409738238
803,-0.6471472249750736
804,-0.6469409242667261
805,-0.5738012655559137
806,-0.42977100970320176
807,-0.24810185812553034
808,-0.06631406215946448
809,0.09973776559981609
810,0.26620313795321965
811,0.47041975896218574
812,0.745256504090378
813,1.0933283405004466
814,1.4762528183412
815,1.8263251464785935
816,2.0759770002547495
817,2.1904496476379194
818,2.1865643460041433
819,2.126864401564349
820,2.090667756836515
821,2.1355285836963316
822,2.268094629791433
823,2.4393680960888156
824,2.567690157310093
825,2.579072506706226
826,2.4456131111700987
827,2.2031783804078007
828,1.9392369646163181
829,1.7560172542292962
830,1.7260534670013612
831,1.860860291527807
832,2.1071531267565127
833,2.3718476719076182
834,2.563509784210206
835,2.630578151744199
836,2.578992284124632
837,2.462455110189393
838,2.352010238346109
839,2.3011985135383566
840,2.324151341200139
841,2.396330560760406
842,2.4754073124500624
843,2.5293808581226545
844,2.555794959589753
845,2.581349673730802
846,2.64232959327655
847,2.7571254036915174
848,2.9069147615578856
849,3.0366619056712976
850,3.0779206112301827
851,2.9830018289367954
852,2.753178233782103
853,2.44553714925283
854,2.1531601328587597
855,1.9665846169368137
856,1.9343002792717292
857,2.0412709988932605
858,2.216294147021453
859,2.3652786974080215
860,2.4149540279675303
861,2.3463382356659563
862,2.2021222376946405
863,2.064653547185391
864,2.0153145653199376
865,2.0948903908240335
866,2.2837553204870433
867,2.5108538974445422
868,2.6864534776607285
869,2.7424160385120824
870,2.6607137284321793
871,2.4773732395290065
872,2.261526460540534
873,2.081391794018998
874,1.9747590973906914
875,1.938215016360867
876,1.9389043363572158
877,1.940638753767366
878,1.9288852025634304
879,1.9203077044804107
880,1.951389413708449
881,2.0524813556095913
882,2.222106431325309
883,2.4169058162474055
884,2.5647855605311074
885,2.596546168967232
886,2.480915441044439
887,2.2449697502134085
888,1.9682262777930712
889,1.751312769983207
890,1.6728513219657353
891,1.7545987731496098
892,1.951585153198572
893,2.1724014282153536
894,2.320482172991453
895,2.337196184738874
896,2.226731839000682
897,2.0515617447191574
898,1.901379520150762
899,1.8509167630556624
900,1.926902519739902
901,2.0993836769038396
902,2.3003467225729954
903,2.4592550851412276
904,2.5373277223198714
905,2.543833563677021
906,2.527375713671197
907,2.547990800890145
908,2.645321641895202
909,2.8194399553659104
910,3.0336356415323067
911,3.236592706724749
912,3.391113485039823
913,3.493285212428176
914,3.571376952792192
915,3.6649438357605915
916,3.795682609248142
917,3.9466264521613743
918,4.062475259126744
919,4.073005390331258
920,3.92909780465896
921,3.6334163364312615
922,3.2492417152367348
923,2.880993753697298
924,2.6337454512953373
925,2.569721963219569
926,2.6819573759436834
927,2.8976782264188508
928,3.110164438577617
929,3.22448817934166
930,3.1961441922654563
931,3.0452498647188437
932,2.840863829834554
933,2.6641968164699255
934,2.5691270080381394
935,2.55889498742424
936,2.5891455151425715
937,2.5941365880840213
938,2.5216824230858013
939,2.3587704569618
940,2.1353774450336784
941,1.9057133401041848
942,1.717817980349506
943,1.5881263792526998
944,1.494491856908233
945,1.3909893767914507
946,1.2360214924385982
947,1.018037297737483
948,0.7643606141173077
949,0.5276280421114832
950,0.35647707777158955
951,0.266018344555502
952,0.2244948731729406
953,0.1646989274680375
954,0.01602264775820547
955,-0.25808683058479703
956,-0.6362225996100022
957,-1.0418089673645914
958,-1.373036802116606
959,-1.5469988659526959
960,-1.5376591800942068
961,-1.3896413111628911
962,-1.200944246716972
963,-1.082247281928784
964,-1.1113876490147543
965,-1.303603076105378
966,-1.6103271756226865
967,-1.9456170446850685
968,-2.226427638659777
969,-2.4071485668670345
970,-2.4927102623269253
971,-2.525929444286295
972,-2.557726674522844
973,-2.616890162955264
974,-2.695296675000789
975,-2.7555991807882574
976,-2.756151065532551
977,-2.678777974020177
978,-2.543659271342834
979,-2.4026625157647032
980,-2.3142074015175087
981,-2.312915325845171
982,-2.3905176161901682
983,-2.498950483126573
984,-2.57502967100285
985,-2.5745203410780384
986,-2.4978760947686025
987,-2.393479830874998
988,-2.3352990239604448
989,-2.384977771956207
990,-2.5568678554649393
991,-2.8038992467100856
992,-3.0325614246887627
993,-3.141214960551361
994,-3.0643793529686754
995,-2.8023144359149588
996,-2.421870433406484
997,-2.028048908702871
998,-1.719455893587378
999,-1.5481756846302024
1000,-1.5020530009012363
1001,-1.5163211050491576
1002,-1.5074816925258245
1003,-1.4122220059866106
1004,-1.2127695273171282
1005,-0.9378273270828268
1006,-0.6409503126780323
1007,-0.3693819380397566
1008,-0.14039483232855768
1009,0.06275124719442965
1010,0.2742038050731276
1011,0.5185521988660295
1012,0.7893895171523772
1013,1.0462540836674414
1014,1.2327537808730087
1015,1.306920283595749
1016,1.2676205017463653
1017,1.1621033287685325
1018,1.069036190220498
1019,1.064038509884642
1020,1.1842396772252293
1021,1.4097398791378162
1022,1.672083905108831
1023,1.8866691606386827
1024,1.9939412782898165
1025,1.9893945057459073
