,forcing function
0,-2.40927931283824
1,-1.5902362941205803
2,-1.1337089138465481
3,-1.0745027624079535
4,-1.1364119003733364
5,-0.9286122110823134
6,-0.24740159059909933
7,0.7332512600588273
8,1.5288470390881503
9,1.637131184284399
10,0.863534439877312
11,-0.5414938572428647
12,-2.0276148835844943
13,-3.0747707554002472
14,-3.488678644890596
15,-3.4730895736500202
16,-3.4488070143774823
17,-3.760280911651263
18,-4.474121038379961
19,-5.391766096329279
20,-6.238046158964977
21,-6.868273067172797
22,-7.341685213488501
23,-7.8255861692772575
24,-8.42760979839175
25,-9.101182074972218
26,-9.699457647044598
27,-10.125772378263665
28,-10.447041779580154
29,-10.865680194794281
30,-11.562132945586644
31,-12.530700540353799
32,-13.545967111130365
33,-14.300287701980663
34,-14.61730466643796
35,-14.578667240804927
36,-14.45838464638841
37,-14.503334836371454
38,-14.721605209362005
39,-14.845803315748633
40,-14.515373510003096
41,-13.557137506357568
42,-12.15930995025018
43,-10.798383313050445
44,-9.950130567144159
45,-9.773957495254948
46,-9.988542997516744
47,-10.031606108502043
48,-9.403623183628062
49,-7.96994741466892
50,-6.026034033592187
51,-4.093750873910046
52,-2.596887828138206
53,-1.63542763934716
54,-0.9956472252989553
55,-0.36178412221298084
56,0.4399147304497111
57,1.3392280590677395
58,2.116985195201879
59,2.6026126409091663
60,2.8121771532312327
61,2.924206913202258
62,3.1244843363051396
63,3.4531346668728196
64,3.779839062918092
65,3.9253338075944195
66,3.826943985628987
67,3.608941395887138
68,3.4947255367151517
69,3.6271505734646503
70,3.9426027634136993
71,4.20814832720116
72,4.203818950192074
73,3.9116967136411214
74,3.5564658171279357
75,3.448162385658614
76,3.731247093496126
77,4.228278876803044
78,4.511845001349909
79,4.1776834166755545
80,3.1396597795912884
81,1.7371225322728363
82,0.5652907557865832
83,0.12877937940708262
84,0.5435069079089516
85,1.482900949812071
86,2.399605173389167
87,2.8691483866678915
88,2.8262190705105277
89,2.547642973271781
90,2.4158147538341597
91,2.6429976810843265
92,3.149277361477496
93,3.6633184274517694
94,3.951042686407545
95,3.993076662684063
96,3.9836889490887732
97,4.16595858620932
98,4.63983503980009
99,5.2914878977978725
100,5.89057430694318
101,6.269595068204303
102,6.439653601923293
103,6.553813680226221
104,6.75514145032897
105,7.040329803372784
106,7.25654084242031
107,7.238736649828154
108,6.9749877530885005
109,6.655322996139107
110,6.545709109339949
111,6.769761849741315
112,7.16691362550005
113,7.354392756722847
114,6.974483477238833
115,5.96349135308725
116,4.645549882748249
117,3.5653525229998966
118,3.1552915731217985
119,3.455125345219503
120,4.075153390879998
121,4.4318905635403105
122,4.100660999786392
123,3.052158554120554
124,1.6238268616802722
125,0.26133857508714214
126,-0.7805508698008182
127,-1.5718910137306052
128,-2.3978588369631564
129,-3.503047408749819
130,-4.88436645586086
131,-6.2799439544363445
132,-7.350860992354128
133,-7.912820111589686
134,-8.047105608496588
135,-8.01894323626595
136,-8.077126779507816
137,-8.29074862443097
138,-8.53894718623248
139,-8.644228888614107
140,-8.529358729636813
141,-8.267445541036956
142,-7.98964699389817
143,-7.7368553910478735
144,-7.391658147002348
145,-6.762815184316255
146,-5.765597595873683
147,-4.550721065672759
148,-3.4590910093460403
149,-2.8077647758713966
150,-2.64991379067043
151,-2.690441058498403
152,-2.441284107805498
153,-1.5306842307561137
154,0.03849501451875584
155,1.8637926929509447
156,3.379265008291612
157,4.20037063321033
158,4.348031983061974
159,4.204496867700652
160,4.238372118881331
161,4.6930200463639515
162,5.45120084257789
163,6.158549675377735
164,6.504550597052768
165,6.453745302282015
166,6.2647038001655835
167,6.292618044811639
168,6.7258576820493685
169,7.446943960830023
170,8.110346409308878
171,8.370466653705133
172,8.091279294930336
173,7.395273556301269
174,6.536923173559357
175,5.714424376073303
176,4.966682248143462
177,4.220978026685935
178,3.42976787109211
179,2.6648663187649353
180,2.0787235425540382
181,1.7606700108406532
182,1.6139733639830964
183,1.3750125791022714
