,training_2,training_1
0,-0.30928521527111075,-0.2184448336089485
1,-0.2991796256581633,-0.19115992811225696
2,-0.2886586919405981,-0.16492050760109295
3,-0.2778116983262887,-0.1399345899650318
4,-0.2667286829709742,-0.1163915387569852
5,-0.25549989946443286,-0.0944600670070059
6,-0.24421527776301272,-0.07428650604547285
7,-0.23296388766652712,-0.05599335952419682
8,-0.22183340792490655,-0.03967815907548612
9,-0.21090960402984427,-0.025412634097614656
10,-0.20027581769915004,-0.013242204052929835
11,-0.1900124709969718,-0.003185797467666507
12,-0.18019658795161989,0.004764002413649507
13,-0.1709013364349333,0.010640489584892387
14,-0.1621955929537216,0.0145020532558644
15,-0.15414353287484947,0.01643109427570312
16,-0.14680424846262538,0.016532656259381842
17,-0.14023139694988662,0.014932791273972144
18,-0.134472880694717,0.011776683259617338
19,-0.12957056129294275,0.007226555354703252
20,-0.1255600093242304,0.0014593899259613685
21,-0.12247029120708743,-0.005335507661205986
22,-0.12032379442736431,-0.012959068687881763
23,-0.1191360921863789,-0.021205109936747027
24,-0.11891584829001559,-0.029863036654359083
25,-0.11966476287059752,-0.03872056409500199
26,-0.12137755929998004,-0.04756642217519082
27,-0.12404201241668188,-0.056193008297155345
28,-0.12763901795289515,-0.06439895439391854
29,-0.13214270281105128,-0.07199157569224451
30,-0.13752057560466666,-0.07878917056053165
31,-0.1437337166464112,-0.08462314307927876
32,-0.15073700633894807,-0.08933992260891516
33,-0.15847939070201178,-0.09280265759537903
34,-0.16690418255427963,-0.0948926641061147
35,-0.1759493966618189,-0.09551061308153447
36,-0.18554811696683007,-0.09457744397041687
37,-0.19562889382378934,-0.09203499624093295
38,-0.2061161689939075,-0.08784635416830006
39,-0.21693072598598281,-0.08199590424131828
40,-0.22799016318192283,-0.0744891084490132
41,-0.23920938704987516,-0.06535200055111998
42,-0.25050112262778806,-0.054630416149526614
43,-0.2617764383558725,-0.042388970912279875
44,-0.2729452822485362,-0.02870980460768928
45,-0.28391702632547594,-0.013691111641477065
46,-0.29460101616832546,0.0025545184882294035
47,-0.3049071224335298,0.019901925028898856
48,-0.3147462911342465,0.03821533632095942
49,-0.3240310895049213,0.057350437280948074
50,-0.3326762442805849,0.0771565134810704
51,-0.34059916925960776,0.09747864055939541
52,-0.34772047907341164,0.11815988741255187
53,-0.3539644861588786,0.13904350178897212
54,-0.359259678018658,0.15997504750773117
55,-0.3635391719609965,0.18080446356586705
56,-0.3667411446331089,0.20138801684881402
57,-0.3688092338001906,0.2215901219996647
58,-0.36969290997530635,0.24128500420667737
59,-0.369347815671538,0.2603581832006155
60,-0.3677360702284071,0.2787077595756881
61,-0.3648265383557374,0.2962454876194409
62,-0.36059506074150616,0.3128976221113991
63,-0.3550246452823718,0.32860552998108367
64,-0.3481056177173312,0.3433260612513544
65,-0.33983573067329026,0.3570316772842398
66,-0.33022023036656,0.3697103379387418
67,-0.31927188044342747,0.3813651527948545
68,-0.30701094268656626,0.392013805041899
69,-0.29346511455877344,0.40168775992511163
70,-0.27866942380180226,0.4104312727438685
71,-0.2626660805528483,0.41830021425566316
72,-0.2455042876845031,0.4253607339200574
73,-0.22724001031381796,0.43168778368144806
74,-0.20793570566035113,0.4373635269068922
75,-0.18766001466231894,0.4424756586381164
76,-0.1664874169804787,0.447115664465969
77,-0.14449785123233738,0.4513770460737163
78,-0.12177630250107777,0.4553535418156575
79,-0.09841235935533252,0.4591373705940763
80,-0.074499742794732,0.46281752677572635
81,-0.05013580970176827,0.4664781529557671
82,-0.025421033532503926,0.47019701604862524
83,-0.0004584651142569146,0.4740441104817336
84,0.024646823460516873,0.47808041021502734
85,0.04978830875135454,0.4823567889375447
86,0.07485859651885601,0.48691312513907575
87,0.09975000965751912,0.49177760585649216
88,0.12435518021402167,0.4969662397971504
89,0.14856764216013774,0.5024825872886546
90,0.1722824215770543,0.5083177111456975
91,0.1953966209126049,0.5144503491278136
92,0.217809993998226,0.5208473052390021
93,0.23942550855503247,0.5274640537399177
94,0.2601498929810465,0.5342455464571136
95,0.27989416429085817,0.5411272108274583
96,0.29857413417777706,0.5480361231586596
97,0.3161108902829594,0.554892338858954
98,0.3324312498888096,0.5616103589338342
99,0.3474681834011615,0.5681007098981917
100,0.36116120514826355,0.574271612443006
101,0.37345672920210193,0.5800307127514848
102,0.3843083881180078,0.5852868493030908
103,0.39367731269182527,0.5899518273501356
104,0.4015323710480328,0.5939421730121113
105,0.4078503655961646,0.5971808391095994
106,0.41261618662610944,0.5995988354531496
107,0.4158229215528756,0.6011367573024373
108,0.4174719190679398,0.6017461871053855
109,0.41757280770527283,0.6013909463950563
110,0.4161434685848009,0.6000481768394931
111,0.4132099623521979,0.5977092318762216
112,0.4088064105904676,0.594380363083185
113,0.4029748322349112,0.5900831884045048
114,0.3957649357761671,0.5848549325178006
115,0.3872338682853577,0.5787484329559114
116,0.37744592253960363,0.5718319090311457
117,0.3664722037638138,0.5641884941057602
118,0.3543902577339062,0.5559155352564897
119,0.34128366220686546,0.5471236678440493
120,0.3272415838526302,0.5379356758696925
121,0.3123583030607132,0.5284851522311945
122,0.2967327091792836,0.5189149760326208
123,0.28046776891537584,0.5093756269115083
124,0.2636699707810733,0.5000233588824325
125,0.2464487486106629,0.4910182584191831
126,0.22891588729705503,0.48252221337617174
127,0.2111849140021488,0.4746968208546353
128,0.1933704781839646,0.4677012632281651
129,0.17558772385266475,0.4616901822359254
130,0.1579516575186407,0.45681158132147714
131,0.1405765153267702,0.4532047862320523
132,0.12357513288324949,0.45099849330030667
133,0.10705832127329931,0.4503089338128414
134,0.09113425274137966,0.4512381814412745
135,0.07590785945787744,0.45387262788931304
136,0.061480248731585356,0.4582816497198786
137,0.04794813794126841,0.4645164867961259
138,0.03540331235721887,0.47260934993682313
139,0.023932108902174138,0.4825727722867518
140,0.01361492876282399,0.4943992155804896
141,0.004525781608219162,0.5080609389785943
142,-0.0032681359990915995,0.5235101345280462
143,-0.009706825598521596,0.5406793295940864
144,-0.014737833031644568,0.5594820528810908
145,-0.01831655385681244,0.5798137569570255
146,-0.02040649621082255,0.6015529865732229
147,-0.020979499583457767,0.6245627785786713
148,-0.02001590821242609,0.6486922759167019
149,-0.017504698056282866,0.673778535107945
150,-0.01344355655859765,0.6996485038118221
151,-0.007838914677009784,0.7261211425604894
152,-0.0007059309149579363,0.753009662609176
