Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01525879,0,0,0,0.3867493
0.03115845,0,0,0,0.3867493
0.04818726,0,0,0,0.3867493
0.06570435,0,0,0,0.3867493
0.0916748,0,0,0,0.3867493
0.09851074,0,0,0,0.3867493
0.1147156,0,0,0,0.3867493
0.1313171,0,-0.1009808,0,0.3867493
0.1482544,0,0,0,0.4877625
0.164917,0,0,0,0.4877625
0.1811523,0,0,0,0.4877625
0.1978455,0,0,0,0.4877625
0.2162476,0,0,0,0.4877625
0.2436218,0,-0.2698416,0,0.4877625
0.2480774,0,0,0,0.7575989
0.2647705,0,0,0,0.7575989
0.282196,0,0,0,0.7575989
0.2978516,0,0,0,0.7575989
0.3146973,0,0,0,0.7575989
0.3314819,0,-0.2192127,0,0.7575989
0.3483887,0,0,0,0.9768066
0.3647461,0,0,0,0.9768066
0.381134,0,0,0,0.9768066
0.4078674,0,0,0,0.9768066
0.4163208,0,0.02217191,0,0.9768066
0.4313965,0,0,0,0.9546204
0.4482117,0,0,0,0.9546204
0.4647217,0,0,0,0.9546204
0.4819946,0,0,0,0.9546204
0.4983826,0,0,0,0.9546204
0.5160522,0,0,0,0.9546204
0.5318604,0,0.3424898,0,0.9546204
0.5599365,0,0,0,0.6121216
0.5646973,0,0,0,0.6121216
0.5817566,0,0,0,0.6121216
0.598053,0,0,0,0.6121216
0.6148376,0,0,0,0.6121216
0.6331482,0,0.5963539,0,0.6121216
0.6480408,0,0,0,0.01577759
0.6646423,0,0,0,0.01577759
0.6820068,0,0,0,0.01577759
0.70755,0,0,0,0.01577759
0.7144165,0,0.6702636,0,0.01577759
0.7321777,0,0,0,-0.6544788
0.7483826,0,0,0,-0.6544789
0.7648926,0,0,0,-0.654479
0.7810974,0,0,0,-0.654479
0.7982483,0,0,0,-0.6544791
0.8152771,0,0,0,-0.6544791
0.8340454,0,0.5331177,0,-0.6544792
0.8588562,0,0,0,-1.187597
0.864502,0,0,0,-1.187597
0.8817139,0,0,0,-1.187597
0.8984375,0,0,0,-1.187597
0.9151306,0,0,0,-1.187597
0.9317322,0,0.2479287,0,-1.187597
0.9487,0,0,0,-1.435526
0.9645081,0,0,0,-1.435526
0.9813232,0,0,0,-1.435526
0.9980164,0,0,0,-1.435526
1.025818,0,0,0,-1.435526
1.032867,0,-0.06056297,0,-1.435526
1.047913,0,0,0,-1.374963
1.065552,0,0,0,-1.374963
1.081909,0,0,0,-1.374963
1.098724,0,0,0,-1.374964
1.115051,0,0,0,-1.374964
1.13147,0,-0.2665517,0,-1.374964
1.149048,0,0,0,-1.108412
1.176392,0,0,0,-1.108412
1.181,0,0,0,-1.108412
1.197784,0,0,0,-1.108412
1.215149,0,0,0,-1.108412
1.231812,0,-0.3028317,0,-1.108412
1.252289,0,0,0,-0.8055806
1.264954,0,0,0,-0.8055807
1.282532,0,0,0,-0.8055807
1.298553,0,0,0,-0.8055808
1.314667,0,0,0,-0.8055809
1.341309,0,-0.1909221,0,-0.8055809
1.347687,0,0,0,-0.6146589
1.36441,0,0,0,-0.614659
1.381348,0,0,0,-0.614659
1.398499,0,0,0,-0.6146591
1.414703,0,0,0,-0.6146591
1.432098,0,-0.02762115,0,-0.6146592
1.449951,0,0,0,-0.587038
1.464417,0,0,0,-0.587038
1.481934,0,0,0,-0.587038
1.512482,0,0,0,-0.587038
1.516144,0,0.06487018,0,-0.587038
1.532135,0,0,0,-0.6519083
1.548462,0,0,0,-0.6519083
1.565186,0,0,0,-0.6519084
1.581635,0,0,0,-0.6519085
1.601288,0,0,0,-0.6519085
1.622009,0,0.000590682,0,-0.6519086
1.631897,0,0,0,-0.6524993
1.662537,0,0,0,-0.6524993
1.669312,0,0,0,-0.6524993
1.680878,0,0,0,-0.6524993
1.697388,0,0,0,-0.6524993
1.714752,0,0,0,-0.6524993
1.731903,0,-0.2268165,0,-0.6524993
1.748169,0,0,0,-0.4256827
1.764832,0,0,0,-0.4256827
1.781006,0,0,0,-0.4256827
1.797394,0,0,0,-0.4256827
1.824127,0,0,0,-0.4256827
1.831421,0,-0.5397963,0,-0.4256827
1.84787,0,0,0,0.1141052
1.86438,0,0,0,0.1141052
1.883209,0,0,0,0.1141052
1.898651,0,0,0,0.1141052
1.914978,0,0,0,0.1141052
1.930786,0,-0.813156,0,0.1141052
1.947937,0,0,0,0.9272461
1.975464,0,0,0,0.9272461
1.981567,0,0,0,0.9272461
1.998291,0,0,0,0.9272461
2.014832,0,0,0,0.9272461
2.031708,0,-0.9327153,0,0.9272461
2.04837,0,0,0,1.859955
2.064606,0,0,0,1.859955
2.085052,0,0,0,1.859955
2.09906,0,0,0,1.859955
2.130341,0,0,0,1.859955
2.134247,0,-0.8475572,0,1.859955
2.148346,0,0,0,2.70752
2.164734,0,0,0,2.70752
2.181244,0,0,0,2.70752
2.197906,0,0,0,2.70752
2.214386,0,0,0,2.70752
2.231232,0,-0.5907865,0,2.70752
2.247406,0,0,0,3.298309
2.264221,0,0,0,3.298309
2.29248,0,0,0,3.298309
2.299072,0,0,0,3.298309
2.315125,0,0,0,3.298309
2.331543,0,-0.2596354,0,3.298309
2.348999,0,0,0,3.557953
2.365845,0,0,0,3.557953
2.381775,0,0,0,3.557953
2.398621,0,0,0,3.557953
2.414978,0,0,0,3.557953
2.441864,0,0.03406048,0,3.557953
2.447998,0,0,0,3.523895
2.464386,0,0,0,3.523895
2.480896,0,0,0,3.523895
2.497894,0,0,0,3.523895
2.516144,0,0,0,3.523895
2.530853,0,0.2175772,0,3.523895
2.548492,0,0,0,3.306335
