Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.0167799,0,0,0,0.3867493
0.03226185,0,0,0,0.3867493
0.0493021,0,0,0,0.3867493
0.06537628,0,0,0,0.3867493
0.08295727,0,0,0,0.3867493
0.09848785,0,0,0,0.3867493
0.1155167,0,0,0,0.3867493
0.1319695,0,-0.1009808,0,0.3867493
0.1490364,0,0,0,0.4877625
0.1660433,0,0,0,0.4877625
0.1822786,0,0,0,0.4877625
0.1987123,0,0,0,0.4877625
0.2152939,0,0,0,0.4877625
0.2338457,0,-0.2698416,0,0.4877625
0.2491903,0,0,0,0.7575989
0.2653036,0,0,0,0.7575989
0.2815599,0,0,0,0.7575989
0.2991877,0,0,0,0.7575989
0.3157892,0,0,0,0.7575989
0.3316622,0,-0.2192127,0,0.7575989
0.3488226,0,0,0,0.9768066
0.3658161,0,0,0,0.9768066
0.3819504,0,0,0,0.9768066
0.3985968,0,0,0,0.9768066
0.4148912,0,0,0,0.9768066
0.4320078,0,0.02217191,0,0.9768066
0.4507818,0,0,0,0.9546204
0.4659891,0,0,0,0.9546204
0.4820099,0,0,0,0.9546204
0.4988852,0,0,0,0.9546204
0.5155659,0,0,0,0.9546204
0.5322418,0,0.3424898,0,0.9546204
0.5494041,0,0,0,0.6121216
0.5653076,0,0,0,0.6121216
0.5818634,0,0,0,0.6121216
0.599267,0,0,0,0.6121216
0.6159267,0,0,0,0.6121216
0.6321688,0,0.5963539,0,0.6121216
0.6509638,0,0,0,0.01577759
0.6653881,0,0,0,0.01577759
0.6819983,0,0,0,0.01577759
0.6990757,0,0,0,0.01577759
0.7151775,0,0,0,0.01577759
0.7323456,0,0.6702636,0,0.01577759
0.7484102,0,0,0,-0.6544788
0.7657633,0,0,0,-0.6544789
0.7820749,0,0,0,-0.654479
0.7993279,0,0,0,-0.654479
0.8152218,0,0,0,-0.6544791
0.8320293,0,0.5331177,0,-0.6544791
0.8494616,0,0,0,-1.187597
0.8681545,0,0,0,-1.187597
0.8821621,0,0,0,-1.187597
0.8986969,0,0,0,-1.187597
0.9160833,0,0,0,-1.187597
0.9318504,0,0.2479287,0,-1.187597
0.9492521,0,0,0,-1.435526
0.9650164,0,0,0,-1.435526
0.9821806,0,0,0,-1.435526
0.9991331,0,0,0,-1.435526
1.015828,0,0,0,-1.435526
1.032027,0,-0.06056297,0,-1.435526
1.048344,0,0,0,-1.374963
1.065905,0,0,0,-1.374963
1.084204,0,0,0,-1.374963
1.098503,0,0,0,-1.374964
1.115215,0,0,0,-1.374964
1.132134,0,-0.2665517,0,-1.374964
1.149222,0,0,0,-1.108412
1.164897,0,0,0,-1.108412
1.182915,0,0,0,-1.108412
1.199226,0,0,0,-1.108412
1.216178,0,0,0,-1.108412
1.232629,0,-0.3028317,0,-1.108412
1.24964,0,0,0,-0.8055806
1.266058,0,0,0,-0.8055807
1.284814,0,0,0,-0.8055807
1.299089,0,0,0,-0.8055808
1.315359,0,0,0,-0.8055809
1.332618,0,-0.1909221,0,-0.8055809
1.348824,0,0,0,-0.6146589
1.364761,0,0,0,-0.614659
1.381795,0,0,0,-0.614659
1.398079,0,0,0,-0.6146591
1.415266,0,0,0,-0.6146591
1.432032,0,-0.02762115,0,-0.6146592
1.449021,0,0,0,-0.587038
1.465145,0,0,0,-0.587038
1.482141,0,0,0,-0.587038
1.500665,0,0,0,-0.587038
1.515409,0,0.06487018,0,-0.587038
1.53207,0,0,0,-0.6519083
1.548421,0,0,0,-0.6519083
1.565373,0,0,0,-0.6519084
1.582964,0,0,0,-0.6519085
1.598977,0,0,0,-0.6519085
1.616057,0,0,0,-0.6519086
1.631655,0,0.000590682,0,-0.6519086
1.648631,0,0,0,-0.6524993
1.66551,0,0,0,-0.6524993
1.682305,0,0,0,-0.6524993
1.700846,0,0,0,-0.6524993
1.716045,0,-0.2268165,0,-0.6524993
1.732254,0,0,0,-0.4256828
1.748715,0,0,0,-0.4256828
1.765157,0,0,0,-0.4256828
1.782388,0,0,0,-0.4256828
1.798788,0,0,0,-0.4256828
1.815194,0,0,0,-0.4256828
1.83228,0,-0.5397963,0,-0.4256828
1.849252,0,0,0,0.1141052
1.86544,0,0,0,0.1141052
1.882286,0,0,0,0.1141052
1.898531,0,0,0,0.1141052
1.918249,0,0,0,0.1141052
1.932313,0,-0.813156,0,0.1141052
1.948616,0,0,0,0.9272461
1.965326,0,0,0,0.9272461
1.98232,0,0,0,0.9272461
1.999076,0,0,0,0.9272461
2.01552,0,0,0,0.9272461
2.031781,0,-0.9327153,0,0.9272461
2.048825,0,0,0,1.859955
2.065091,0,0,0,1.859955
2.081924,0,0,0,1.859955
2.09947,0,0,0,1.859955
2.117998,0,0,0,1.859955
2.132411,0,-0.8475572,0,1.859955
2.148549,0,0,0,2.70752
2.165795,0,0,0,2.70752
2.182734,0,0,0,2.70752
2.19895,0,0,0,2.70752
2.215351,0,0,0,2.70752
2.232231,0,-0.5907865,0,2.70752
2.24905,0,0,0,3.298309
2.265347,0,0,0,3.298309
2.282107,0,0,0,3.298309
2.298773,0,0,0,3.298309
2.315205,0,0,0,3.298309
2.334188,0,-0.2596354,0,3.298309
2.351588,0,0,0,3.557953
2.368523,0,0,0,3.557953
2.384753,0,0,0,3.557953
2.402128,0,0,0,3.557953
2.419806,0.003205478,0.03406048,0.006868792,3.557953
2.432863,0.0322406,0,0.09352889,3.520721
2.449526,0.08987579,0,0.2043032,3.488495
2.465955,0.1098548,0,0.253285,3.398621
2.482324,0.1276881,0,0.2954847,3.288757
2.499187,0.1325489,0,0.2977454,3.161072
2.51558,0.1236479,0,0.2856884,3.028534
2.533688,0.1070278,0.2175772,0.2238959,2.904877
2.548492,0.06718919,0,0.1718998,2.580261
2.565372,0.05141411,0,0.1153824,2.513062
2.582234,0.01043832,0,0.02344725,2.461639
2.598966,0,0,0,2.451202
2.61584,0,0,0,2.451202
2.631691,0,0.2882471,0,2.451202
2.649014,0,0,0,2.162964
2.665936,0,0,0,2.162964
2.682049,0,0,0,2.162964
2.699321,0,0,0,2.162964
2.715959,0,0,0,2.162964
2.73378,0,0.3066676,0,2.162964
2.749092,0,0,0,1.856293
2.765224,0,0,0,1.856293
2.78201,0,0,0,1.856293
2.798864,0,0,0,1.856293
2.81628,0,0,0,1.856293
2.832089,0,0.3566289,0,1.856293
2.849393,0,0,0,1.499664
2.86542,0,0,0,1.499664
2.88283,0,0,0,1.499664
