Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01623535,0,0.03503782,0,0.5704651
0.03260803,0,0.02765206,0,0.5354309
0.04953003,0,0.0239619,0,0.507782
0.06626892,0,0.01666,0,0.4838257
0.08312988,0,0.009559959,0,0.4671631
0.09938812,0,0.006121606,0,0.4576111
0.1157074,0,-0.0004616678,0,0.4515076
0.1336441,0,-0.006564647,0,0.4519653
0.1499176,0,-0.009404272,0,0.4585266
0.166214,0,-0.01460135,0,0.467926
0.1825638,0,-0.01908526,0,0.4825439
0.1992188,0,-0.02103618,0,0.5016174
0.2160797,0,-0.02431637,0,0.522644
0.2329025,0,-0.02672499,0,0.5469666
0.2491302,0,-0.02759004,0,0.5737
0.2659607,0,-0.02862579,0,0.6012878
0.282196,0,-0.02872622,0,0.6299133
0.2997742,0,-0.02842617,0,0.6586304
0.31604,0,-0.02713561,0,0.6870422
0.3326416,0,-0.02494991,0,0.7141724
0.3495178,0,-0.02353472,0,0.7391357
0.3661194,0,-0.02009535,0,0.7626648
0.382782,0,-0.01590151,0,0.7827454
0.3994904,0,-0.01354665,0,0.798645
0.4157486,0,-0.008377612,0,0.8121948
0.4326096,0,-0.002680182,0,0.8205872
0.4490585,0,0.00033319,0,0.8232727
0.4660645,0,0.006617308,0,0.822937
0.4827728,0,0.01314491,0,0.8163147
0.4990234,0,0.01646149,0,0.8031616
0.515976,0,0.02312189,0,0.7867126
0.5326996,0,0.02971423,0,0.7635803
0.5496368,0,0.03294587,0,0.7338562
0.5663223,0,0.03920478,0,0.7008972
0.5833893,0,0.04509395,0,0.6616821
0.5992889,0,0.04786515,0,0.6165771
0.6156921,0,0.05299652,0,0.5687256
0.6326447,0,0.05750155,0,0.5157166
0.6495285,0,0.05949274,0,0.4582214
0.6657867,0,0.06290661,0,0.3987427
0.6825485,0,0.06551233,0,0.3358459
0.6991959,0,0.06649685,0,0.2703247
0.7159195,0,0.06780744,0,0.2038269
0.7330933,0,0.06822322,0,0.1360168
0.7494049,0,0.06809321,0,0.06777954
0.7659149,0,0.06716168,0,-0.0003105462
0.7825012,0,0.06535304,0,-0.06747222
0.800087,0,0.06270301,0,-0.1328253
0.8158569,0,0.06107795,0,-0.1955283
0.8338089,0,0.05726671,0,-0.2566062
0.8493042,0,0.05509853,0,-0.3138729
0.8665466,0,0.05028832,0,-0.3689715
0.8824539,0,0.04492188,0,-0.4192598
0.8996506,0,0.04206097,0,-0.4641818
0.9164352,0,0.03604949,0,-0.5062428
0.9324722,0,0.02974355,0,-0.5422923
0.9490585,0,0.02651572,0,-0.5720358
0.966095,0,0.01998258,0,-0.5985516
0.9825974,0,0.01344264,0,-0.6185341
