Time,CV,FF,Input
0,0,-0.791238,0
0.01441574,0,-0.7777878,0
0.03116226,0,-0.7500234,0
0.04743195,0,-0.7358032,0
0.06448364,0,-0.6923848,0
0.08150101,0,-0.6633232,0
0.09884262,0,-0.6489156,0
0.1146698,0,-0.6206132,0
0.1309586,0,-0.593346,0
0.1477165,0,-0.5802304,0
0.1641312,0,-0.5675273,0
0.1811829,0,-0.5435532,0
0.1979561,0,-0.5323752,0
0.2142143,0,-0.5118558,0
0.2310638,0,-0.4940503,0
0.247406,0,-0.486255,0
0.2645378,0,-0.4730349,0
0.2815971,0,-0.4631459,0
0.2975006,0,-0.4567465,0
0.3149948,0,-0.4539393,0
0.3316689,0,-0.4547684,0
0.3480721,0,-0.4565442,0
0.3657188,0,-0.4627806,0
0.3812675,0,-0.4725033,0
0.3982277,0,-0.4786234,0
0.4155426,0,-0.4932536,0
0.431797,0,-0.5108612,0
0.4484329,0,-0.5206915,0
0.4650955,0,-0.5421999,0
0.4817696,0,-0.5658689,0
0.4981346,0,-0.5783916,0
0.5145226,0,-0.6045529,0
0.5310898,0,-0.6318371,0
0.5475082,0,-0.6457594,0
0.5645409,0,-0.6738763,0
0.5812302,0,-0.7019695,0
0.5978241,0,-0.7158628,0
0.6144981,0,-0.7430583,0
0.6310463,0,-0.7690991,0
0.6483116,0,-0.781554,0
0.6651993,0,-0.8050833,0
0.6817894,0,-0.8264645,0
0.6986656,0,-0.8362432,0
0.7149734,0,-0.8537888,0
0.7317429,0,-0.8684354,0
0.7485046,0,-0.8746027,0
0.7649841,0,-0.8845169,0
0.7817001,0,-0.8911005,0
0.7981339,0,-0.8931182,0
0.8149338,0,-0.8945866,0
0.8317528,0,-0.8926497,0
0.8480949,0,-0.8904243,0
0.8651276,0,-0.8835292,0
0.8816299,0,-0.8735074,0
0.8992233,0,-0.867385,0
0.9151878,0,-0.8530648,0
0.931427,0,-0.8362042,0.02265898
0.9486008,1.093425E-05,-0.826915,0.06877725
0.9648666,5.505526E-05,-0.8068232,0.100427
0.9820595,0.0001476293,-0.7850056,0.1506146
0.9980164,0.0003128649,-0.7735636,0.1781951
1.014622,0.0005640568,-0.7498492,0.2107492
1.031181,0.000916897,-0.7253472,0.2591281
1.047527,0.001394711,-0.712921,0.2916822
1.06435,0.002013182,-0.6879557,0.3409655
1.081562,0.002796066,-0.6631487,0.3712588
1.097694,0.003757946,-0.6509163,0.4042651
1.11533,0.004914715,-0.6270046,0.4445055
1.130825,0.006285752,-0.6040916,0.4698253
1.147598,0.007883232,-0.5930999,0.5064486
1.164642,0.009724784,-0.5722063,0.5281514
1.181252,0.01182083,-0.5529502,0.5575404
1.197884,0.0141855,-0.543995,0.5706525
1.214333,0.01682507,-0.527523,0.5815039
1.231285,0.01974473,-0.5130574,0.5995895
1.247948,0.02295313,-0.5065988,0.6145101
1.264675,0.02645743,-0.4952463,0.6294307
1.281082,0.03026477,-0.4859672,0.6574634
1.297749,0.03438861,-0.482089,0.6773576
1.314915,0.03883848,-0.4757976,0.7112679
1.33123,0.0436307,-0.4713513,0.7329707
1.347652,0.04877565,-0.46977,0.7578384
1.36491,0.05428528,-0.4677703,0.7989831
1.3811,0.06017936,-0.4671366,0.8238509
1.397697,0.06646981,-0.4672561,0.8577613
1.414577,0.07317293,-0.4682027,0.879464
1.431328,0.08029909,-0.4698598,0.9065924
1.447933,0.08786132,-0.4708642,0.9228694
1.464748,0.09586737,-0.4730396,0.9296516
1.481262,0.1043204,-0.4751885,0.9355293
1.498196,0.1132232,-0.4761607,0.9368858
1.514851,0.1225764,-0.4777206,0.9368858
1.53083,0.1323798,-0.4785382,0.931008
1.547703,0.1426304,-0.4785872,0.931008
1.564537,0.1533283,-0.4778149,0.9305558
1.581467,0.1644731,-0.4757027,0.9314601
1.597832,0.1760651,-0.4740841,0.9355293
1.614197,0.1881063,-0.4696212,0.9355293
1.630997,0.2005965,-0.4634173,0.9355293
1.648335,0.2135357,-0.4596318,0.9355293
1.66449,0.2269237,-0.4506551,0.931008
1.681377,0.2407583,-0.4397838,0.8989061
1.69841,0.255024,-0.4336401,0.8491707
1.715126,0.2696965,-0.4199642,0.7605513
1.731152,0.2847331,-0.4045047,0.6891131
1.74752,0.3000993,-0.3961408,0.5860252
1.764477,0.3157451,-0.3782343,0.4675646
1.7812,0.3316135,-0.3589017,0.2546068
1.797985,0.3476015,-0.3487625,0.09454924
1.81459,0.363632,-0.3276778,0
1.831188,0.3796593,-0.305721,0
1.848156,0.3956833,-0.2944964,0
1.864109,0.4117042,-0.271725,0
1.881172,0.4277219,-0.2487579,0
1.897995,0.4437363,-0.2372899,0
1.91489,0.4597476,-0.2145639,0
1.931503,0.4757556,-0.1923522,0
1.948002,0.4917605,-0.181525,0
1.964565,0.5077621,-0.1605923,0
1.981285,0.5237606,-0.1408275,0
1.998108,0.5397558,-0.1314549,0
2.014439,0.5557479,-0.1138591,0
2.031452,0.5717367,-0.0979481,0
2.048092,0.5877224,-0.09067381,0
2.064423,0.6037048,-0.0775682,0
2.081116,0.619684,-0.06646787,0
2.098175,0.6356601,-0.06169154,0
2.114578,0.651633,-0.05370994,0
2.131062,0.6676027,-0.04782701,0
2.148098,0.6835691,-0.04566544,0
2.164364,0.6995324,-0.04286845,0
2.181446,0.7154925,-0.04203686,-0.01090335
2.19833,0.7314441,-0.04232466,-0.02672827
2.214558,0.7473797,-0.04422472,-0.04074458
2.2313,0.7632924,-0.04776174,-0.06516013
2.248104,0.7791705,-0.05009052,-0.08731501
2.264366,0.7950032,-0.05575124,-0.1171562
2.281376,0.8107763,-0.0625826,-0.1469975
2.297951,0.8264753,-0.0663723,-0.1922114
2.314724,0.8420783,-0.07456644,-0.2310955
2.330685,0.8575668,-0.08340163,-0.2803787
2.348129,0.8729168,-0.08799331,-0.3576947
2.365902,0.8880912,-0.09739605,-0.4182813
2.381302,0.9030607,-0.1069279,-0.5177521
2.397671,0.9177774,-0.1116846,-0.5842167
2.414238,0.9322091,-0.121074,-0.6529419
2.431095,0.946323,-0.1301741,-0.7596469
2.448219,0.9600674,-0.1345749,-0.8215901
2.464378,0.9734126,-0.1430111,-0.8821769
2.481232,0.9863295,-0.1508925,-0.9622056
2.497623,0.9987795,-0.154607,-1.006968
2.51474,1.010741,-0.1615641,-1.059416
2.532154,1.022189,-0.1678892,-1.086996
2.547997,1.03311,-0.1708212,-1.114577
2.564457,1.043491,-0.1762534,-1.128141
2.581219,1.053326,-0.1811704,-1.140801
2.598343,1.062608,-0.183465,-1.146679
2.614532,1.071335,-0.1877979,-1.149844
2.631229,1.079505,-0.1919017,-1.150296
2.64761,1.087119,-0.1939142,-1.151652
2.664326,1.094175,-0.1979621,-1.156626
2.681271,1.100672,-0.2021844,-1.159339
2.697941,1.106608,-0.2044167,-1.162956
2.714252,1.111982,-0.209237,-1.168381
2.731297,1.116791,-0.2146819,-1.171094
2.747501,1.121033,-0.2176936,-1.171094
2.7645,1.12471,-0.2244006,-1.171094
2.781715,1.127821,-0.2321486,-1.170642
2.798058,1.130366,-0.2364574,-1.167929
2.814472,1.132347,-0.2460212,-1.165216
2.831665,1.133766,-0.2569306,-1.154817
2.848118,1.134627,-0.2629147,-1.147131
2.864571,1.134934,-0.2759745,-1.134471
2.88142,1.134694,-0.2905086,-1.118646
2.898388,1.133914,-0.2983276,-1.105534
2.914806,1.132601,-0.3150476,-1.073432
2.931339,1.13077,-0.3331545,-1.044947
2.948711,1.128435,-0.3426985,-1.013297
2.964798,1.125611,-0.362689,-0.9549714
2.981743,1.122328,-0.3837526,-0.9133745
2.998478,1.118604,-0.3946301,-0.8410321
3.014877,1.114475,-0.4169467,-0.7917489
3.031376,1.109965,-0.4398187,-0.7302579
3.047737,1.105103,-0.4513848,-0.6190314
3.064713,1.099944,-0.4746094,-0.539907
3.081676,1.094525,-0.497722,-0.4246113
3.098026,1.088902,-0.5091453,-0.3445826
3.114883,1.083114,-0.5315406,-0.2170791
3.131115,1.077223,-0.5530853,-0.1271033
3.148232,1.071271,-0.5634463,-0.03803174
3.164669,1.065302,-0.5831656,0
3.181145,1.059334,-0.601318,0
3.19833,1.053368,-0.609725,0
3.214462,1.047402,-0.6250502,0
3.231087,1.041438,-0.638211,0
3.247738,1.035475,-0.6439202,0
3.264694,1.029513,-0.6534974,0
3.281353,1.023553,-0.6605172,0
3.297802,1.017594,-0.66304,0
3.314972,1.011635,-0.6660798,0
3.331295,1.005678,-0.6664382,0
3.347694,0.9997225,-0.6656207,0
3.36533,0.9937679,-0.6620363,0
3.380947,0.9878145,-0.6559479,0
3.397686,0.9818622,-0.6520115,0
3.415333,0.9759112,-0.642473,0
3.431,0.9699613,-0.6309046,0
3.447792,0.9640127,-0.6244403,0
3.464413,0.9580652,-0.6103345,0
